SMR,Structural_Stage,total_snags,std.error,df,asymp.LCL,asymp.UCL,removal_flag
dry,Shrub,1.143115867737984,0.3630326051240142,Inf,0.6134289616230179,2.130179643975473,keep
dry,P-S,2.0458880746130053,0.8951775191400472,Inf,0.8678386177000246,4.823083380337099,keep
dry,Young,2.439424188108688,0.8175317705882308,Inf,1.2647990209610027,4.704929614041195,keep
dry,Old,1.2080401774352603,0.553505763999913,Inf,0.4921230276664173,2.9654395105588,keep
mesic,Shrub,1.8409731159052933,0.392601340480717,Inf,1.2120549955245425,2.7962279154002445,keep
mesic,P-S,3.2948759174928153,0.9887101899380919,Inf,1.8298466012911867,5.932851040089209,keep
mesic,Young,3.9286606680422396,0.43663577238633744,Inf,3.1596648620711196,4.884813838928809,keep
mesic,Mature,3.089948169279009,0.4544282810957939,Inf,2.3161562159324016,4.122252041185014,keep
mesic,Old,1.9455328653538866,0.6401999305065751,Inf,1.020800629538854,3.7079700194562175,keep
moist,Shrub,1.1961118937905217,0.24770101296275016,Inf,0.797072382468095,1.7949231386453357,keep
moist,P-S,2.1407375476741377,0.6188394102293306,Inf,1.2147868232415058,3.7724785619532577,keep
moist,Young,2.552518399705995,0.41812915720252886,Inf,1.851540361808645,3.5188809897037547,keep
moist,Mature,2.007592465386661,0.27572658753581486,Inf,1.5338041542768344,2.6277328144137004,keep
moist,Old,1.264046161187859,0.40448728100381043,Inf,0.6751239025836849,2.3666954932257136,keep
wet,Shrub,0.6176470588235301,0.16468878079614108,Inf,0.36624935435937533,1.041606994613373,keep
wet,P-S,1.1054319055752084,0.4815350756196317,Inf,0.47069731501187007,2.5961050953367355,keep
wet,Young,1.3180668885209312,0.4593836328199375,Inf,0.6656862857534889,2.609788363972081,keep
