SMR,Structural_Stage,total_trees,std.error,df,asymp.LCL,asymp.UCL,removal_flag
dry,Shrub,0.8627309933177848,0.3218328872710836,Inf,0.4152823325551909,1.7922861351973691,keep
dry,P-S,1.9738227495449583,1.0174314748303996,Inf,0.7186968354563491,5.420889663647122,keep
dry,Young,1.7180857259199553,0.6863662997819908,Inf,0.7852252313638715,3.7591998368198563,keep
dry,Mature,1.6642024139993006,0.6962727226749921,Inf,0.7329570812004026,3.7786246231842497,keep
mesic,Shrub,1.1858595625962205,0.3151094191302452,Inf,0.7044496611162404,1.9962574756194726,keep
mesic,P-S,2.7131013033580342,0.9655034833024957,Inf,1.3506766384595763,5.44980084254516,keep
mesic,Young,2.361580148647533,0.32834871364708007,Inf,1.7982644955149556,3.1013573433695814,keep
mesic,Mature,2.287515299696492,0.41041425453923175,Inf,1.6093325500049414,3.2514884796989065,keep
mesic,Old,0.9371161897334207,0.4125659519257384,Inf,0.39541347246365127,2.220932806332775,keep
moist,Shrub,0.678135322869,0.18478301884283474,Inf,0.39753471800493545,1.156798375826218,keep
moist,P-S,1.5514904853497102,0.5442510194563729,Inf,0.7801068880832382,3.085631934420039,keep
moist,Young,1.350472658902367,0.282625513917533,Inf,0.8960809035374236,2.0352809609524964,keep
moist,Mature,1.3081185793461862,0.23266873326364587,Inf,0.923098418682901,1.8537289014883476,keep
moist,Old,0.535891103748701,0.2317843408361488,Inf,0.22956924784453778,1.2509483642664379,keep
wet,Shrub,0.2452007747837633,0.09041266780161551,Inf,0.11903071314703183,0.5051084578506286,keep
wet,P-S,0.5609893132655406,0.30515316237450346,Inf,0.19316966121489193,1.6291844569113998,keep
wet,Young,0.4883051083170273,0.21890253424715203,Inf,0.20281763501008135,1.175646677847573,keep
