Station,MitProp,File Name,RecDate,RecTime,BHC,BHCname,Count,CallCount,BoomCount
CONI19-001,NA,1_20190603_220000,2019-06-03,22:00:00,CUL,Cultivated,1,54,1
CONI19-001,NA,1_20190531_230000,2019-05-31,23:00:00,CUL,Cultivated,0,0,0
CONI19-002,NA,3_20190603_220000,2019-06-03,22:00:00,CUL,Cultivated,1,21,0
CONI19-002,NA,3_20190602_220000,2019-06-02,22:00:00,CUL,Cultivated,1,21,5
CONI19-003,NA,3_20190603_230000,2019-06-03,23:00:00,WRI,Wetland-riparian,0,0,0
CONI19-003,NA,3_20190602_220000,2019-06-02,22:00:00,WRI,Wetland-riparian,1,0,1
CONI19-004,NA,4_20190604_220000,2019-06-04,22:00:00,CUL,Cultivated,0,0,0
CONI19-004,NA,4_20190605_230000,2019-06-05,23:00:00,CUL,Cultivated,0,0,0
CONI19-005,NA,5_20190605_220000,2019-06-05,22:00:00,CUL,Cultivated,0,0,0
CONI19-005,NA,5_20190603_220000,2019-06-03,22:00:00,CUL,Cultivated,0,0,0
CONI19-006,NA,6_20190531_230000,2019-05-31,23:00:00,RSH,Riparian-mixed shrub,3,656,46
CONI19-006,NA,6_20190602_220000,2019-06-02,22:00:00,RSH,Riparian-mixed shrub,3,680,56
CONI19-009,NA,9_20190604_220000,2019-06-04,22:00:00,NVE,Non-vegetated,1,4,0
CONI19-009,NA,9_20190531_230000,2019-05-31,23:00:00,NVE,Non-vegetated,1,7,0
CONI19-010,NA,10_20190605_220000,2019-06-05,22:00:00,RSH,Riparian-mixed shrub,2,249,19
CONI19-010,NA,10_20190603_230000,2019-06-03,23:00:00,RSH,Riparian-mixed shrub,1,57,3
CONI19-012,NA,12_20190622_220000,2019-06-22,22:00:00,DSS,Shrubland-dry slopes,0,0,0
CONI19-012,NA,12_20190624_220000,2019-06-24,22:00:00,DSS,Shrubland-dry slopes,1,8,0
CONI19-013,NA,13_20190623_220000,2019-06-23,22:00:00,DSG,Grassland-dry slopes,1,17,5
CONI19-013,NA,13_20190621_230000,2019-06-21,23:00:00,DSG,Grassland-dry slopes,1,2,1
CONI19-014,Wilder,14_20190624_220000,2019-06-24,22:00:00,CUL,Cultivated,0,0,0
CONI19-014,Wilder,14_20190620_220000,2019-06-20,22:00:00,CUL,Cultivated,0,0,0
CONI19-015,Wilder,15_20190619_220000,2019-06-19,22:00:00,DSS,Shrubland-dry slopes,0,0,0
CONI19-015,Wilder,15_20190620_230000,2019-06-20,23:00:00,DSS,Shrubland-dry slopes,0,0,0
CONI19-016,Wilder,16_20190618_230000,2019-06-18,23:00:00,CUL,Cultivated,1,149,10
CONI19-016,Wilder,16_20190624_230000,2019-06-24,23:00:00,CUL,Cultivated,1,68,0
CONI19-017,Wilder,17_20190624_220000,2019-06-24,22:00:00,CUL,Cultivated,2,47,3
CONI19-017,Wilder,17_20190621_220000,2019-06-21,22:00:00,CUL,Cultivated,2,185,19
CONI19-018,NA,18_20190624_220000,2019-06-24,22:00:00,DSG,Grassland-dry slopes,0,0,0
CONI19-018,NA,18_20190620_230000,2019-06-20,23:00:00,DSG,Grassland-dry slopes,0,0,0
CONI19-044,NA,44_20190602_230000,2019-06-02,23:00:00,NVE,Non-vegetated,0,0,0
CONI19-044,NA,44_20190603_230000,2019-06-03,23:00:00,NVE,Non-vegetated,0,0,0
CONI19-047,NA,47_20190628_220000,2019-06-28,22:00:00,WRI,Wetland-riparian,2,194,0
CONI19-047,NA,47_20190603_220000,2019-07-03,22:00:00,WRI,Wetland-riparian,2,176,2
CONI19-049,NA,49_20190603_230000,2019-06-03,23:00:00,NVE,Non-vegetated,1,37,3
CONI19-049,NA,49_20190605_230000,2019-06-05,23:00:00,NVE,Non-vegetated,0,0,0
CONI19-054,NA,54_20190602_220000,2019-06-02,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-054,NA,54_20190603_220000,2019-06-03,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-059,NA,59_20190627_220000,2019-06-27,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-059,NA,59_20190629_220000,2019-06-29,22:00:00,NVE,Non-vegetated,2,170,8
CONI19-065,NA,65_20190531_230000,2019-05-31,23:00:00,NVE,Non-vegetated,0,0,0
CONI19-065,NA,65_20190602_220000,2019-06-02,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-080,NA,80_20190603_220000,2019-06-03,22:00:00,RSH,Riparian-mixed shrub,0,0,0
CONI19-080,NA,80_20190601_220000,2019-06-01,22:00:00,RSH,Riparian-mixed shrub,1,0,1
CONI19-085,NA,85_20190601_230000,2019-06-01,23:00:00,WRI,Wetland-riparian,0,0,0
CONI19-085,NA,85_20190603_220000,2019-06-03,22:00:00,WRI,Wetland-riparian,1,41,0
CONI19-091,NA,91_20190601_220000,2019-06-01,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-091,NA,91_20190602_230000,2019-06-02,23:00:00,NVE,Non-vegetated,0,0,0
CONI19-101,NA,101_20190601_230000,2019-07-01,23:00:00,WRI,Wetland-riparian,1,57,0
CONI19-101,NA,101_20190603_220000,2019-07-03,22:00:00,WRI,Wetland-riparian,1,90,0
CONI19-102,NA,102_20190602_220000,2019-07-02,22:00:00,WRI,Wetland-riparian,1,78,2
CONI19-102,NA,102_20190603_230000,2019-07-03,23:00:00,WRI,Wetland-riparian,0,0,0
CONI19-107,NA,107_20190603_230000,2019-07-03,23:00:00,CUL,Cultivated,0,0,0
CONI19-107,NA,107_20190627_220000,2019-06-27,22:00:00,CUL,Cultivated,0,0,0
CONI19-108,NA,108_20190601_220000,2019-07-01,22:00:00,RSH,Riparian-mixed shrub,1,0,2
CONI19-108,NA,108_20190603_230000,2019-07-03,23:00:00,RSH,Riparian-mixed shrub,0,0,0
CONI19-113,NA,113_20190608_230000,2019-06-08,23:00:00,DSH,Deciduous-shrub,0,0,0
CONI19-113,NA,113_20190609_230000,2019-06-09,23:00:00,DSH,Deciduous-shrub,0,0,0
CONI19-114,NA,114_20190629_220000,2019-06-29,22:00:00,RSH,Riparian-mixed shrub,1,0,3
CONI19-114,NA,114_20190603_230000,2019-07-03,23:00:00,RSH,Riparian-mixed shrub,0,0,0
CONI19-116,NA,116_20190630_230000,2019-06-30,23:00:00,RSH,Riparian-mixed shrub,1,2,0
CONI19-116,NA,116_20190602_230000,2019-07-02,23:00:00,RSH,Riparian-mixed shrub,0,0,0
CONI19-118,Rutledge,118_20190614_230000,2019-06-14,23:00:00,DSG,Grassland-dry slopes,0,0,0
CONI19-118,Rutledge,118_20190613_220000,2019-06-13,22:00:00,DSG,Grassland-dry slopes,0,0,0
CONI19-119,Rutledge,119_20190610_220000,2019-06-10,22:00:00,CUL,Cultivated,0,0,0
CONI19-119,Rutledge,119_20190608_220000,2019-06-08,22:00:00,CUL,Cultivated,0,0,0
CONI19-120,NA,120_20190628_220000,2019-06-28,22:00:00,CUL,Cultivated,2,41,2
CONI19-120,NA,120_20190629_230000,2019-06-29,23:00:00,CUL,Cultivated,1,6,0
CONI19-121,NA,121_20190629_220000,2019-06-29,22:00:00,RSH,Riparian-mixed shrub,1,11,2
CONI19-121,NA,121_20190602_220000,2019-07-02,22:00:00,RSH,Riparian-mixed shrub,1,69,9
CONI19-126,Rutledge,126_20190612_220000,2019-06-12,22:00:00,CUL,Cultivated,0,0,0
CONI19-126,Rutledge,126_20190614_230000,2019-06-14,23:00:00,CUL,Cultivated,0,0,0
CONI19-128,Rutledge,128_20190612_220000,2019-06-12,22:00:00,DSG,Grassland-dry slopes,0,0,0
CONI19-128,Rutledge,128_20190611_230000,2019-06-11,23:00:00,DSG,Grassland-dry slopes,1,2,0
CONI19-129,NA,129_20190627_230000,2019-06-27,23:00:00,RSH,Riparian-mixed shrub,1,87,4
CONI19-129,NA,129_20190630_230000,2019-06-30,23:00:00,RSH,Riparian-mixed shrub,2,256,11
CONI19-130,NA,130_20190628_220000,2019-06-28,22:00:00,WRI,Wetland-riparian,2,111,1
CONI19-130,NA,130_20190602_230000,2019-07-02,23:00:00,WRI,Wetland-riparian,0,0,0
CONI19-136,NA,136_20190609_220000,2019-06-09,22:00:00,CUL,Cultivated,0,0,0
CONI19-136,NA,136_20190613_230000,2019-06-13,23:00:00,CUL,Cultivated,0,0,0
CONI19-138,NA,138_20190610_220000,2019-06-10,22:00:00,CUL,Cultivated,0,0,0
CONI19-138,NA,138_20190613_230000,2019-06-13,23:00:00,CUL,Cultivated,0,0,0
CONI19-141,NA,141_20190628_220000,2019-06-28,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-141,NA,141_20190603_220000,2019-07-03,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-142,NA,142_20190608_230000,2019-06-08,23:00:00,DSH,Deciduous-shrub,0,0,0
CONI19-142,NA,142_20190610_230000,2019-06-10,23:00:00,DSH,Deciduous-shrub,0,0,0
CONI19-145,NA,145_20190608_220000,2019-06-08,22:00:00,ANT,Anthropogenic,0,0,0
CONI19-145,NA,145_20190611_230000,2019-06-11,23:00:00,ANT,Anthropogenic,0,0,0
CONI19-148,NA,148_20190610_220000,2019-06-10,22:00:00,CUL,Cultivated,0,0,0
CONI19-148,NA,148_20190613_230000,2019-06-13,23:00:00,CUL,Cultivated,0,0,0
CONI19-152,NA,152_20190628_230000,2019-06-28,23:00:00,NVE,Non-vegetated,1,18,0
CONI19-152,NA,152_20190602_220000,2019-07-02,22:00:00,NVE,Non-vegetated,2,136,5
CONI19-157,NA,157_20190622_220000,2019-06-22,22:00:00,NVE,Non-vegetated,1,21,0
CONI19-157,NA,157_20190621_220000,2019-06-21,22:00:00,NVE,Non-vegetated,2,240,12
CONI19-159,NA,159_20190620_220000,2019-06-20,22:00:00,WRI,Wetland-riparian,2,62,0
CONI19-159,NA,159_20190624_230000,2019-06-24,23:00:00,WRI,Wetland-riparian,0,0,0
CONI19-173,NA,173_20190619_220000,2019-06-19,22:00:00,RSH,Riparian-mixed shrub,2,235,4
CONI19-173,NA,173_20190621_220000,2019-06-21,22:00:00,RSH,Riparian-mixed shrub,3,417,0
CONI19-180,NA,180_20190620_220000,2019-06-20,22:00:00,NVE,Non-vegetated,1,54,1
CONI19-180,NA,180_20190621_220000,2019-06-21,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-181,NA,181_20190622_220000,2019-06-22,22:00:00,NVE,Non-vegetated,2,81,9
CONI19-181,NA,181_20190623_220000,2019-06-23,22:00:00,NVE,Non-vegetated,1,21,2
CONI19-185,NA,185_20190620_220000,2019-06-20,22:00:00,NVE,Non-vegetated,1,34,0
CONI19-185,NA,185_20190622_220000,2019-06-22,22:00:00,NVE,Non-vegetated,0,0,0
CONI19-187,NA,187_20190618_230000,2019-06-18,23:00:00,RSH,Riparian-mixed shrub,1,45,2
CONI19-187,NA,187_20190620_230000,2019-06-20,23:00:00,RSH,Riparian-mixed shrub,1,13,0
CONI19-205,NA,205_20190613_220000,2019-06-13,22:00:00,DSH,Deciduous-shrub,0,0,0
CONI19-205,NA,205_20190610_230000,2019-06-10,23:00:00,DSH,Deciduous-shrub,0,0,0
CONI19-208,Marl,208_20190611_220000,2019-06-11,22:00:00,CUL,Cultivated,0,0,0
CONI19-208,Marl,208_20190614_220000,2019-06-14,22:00:00,CUL,Cultivated,0,0,0
CONI19-209,Marl,209_20190608_220000,2019-06-08,22:00:00,CUL,Cultivated,0,0,0
CONI19-209,Marl,209_20190613_220000,2019-06-13,22:00:00,CUL,Cultivated,0,0,0
CONI19-211,Marl,211_20190610_230000,2019-06-10,23:00:00,WGR,Wetland-graminoid,0,0,0
CONI19-211,Marl,211_20190614_220000,2019-06-14,22:00:00,WGR,Wetland-graminoid,0,0,0
CONI19-214,Marl,214_20190610_220000,2019-06-10,22:00:00,CUL,Cultivated,0,0,0
CONI19-214,Marl,214_20190613_220000,2019-06-13,22:00:00,CUL,Cultivated,0,0,0
CONI18-033,NA,33_20180606_220000,2018-06-06,22:00:00,CUL,Cultivated,1,22,4
CONI18-033,NA,33_20180601_230000,2018-06-01,23:00:00,CUL,Cultivated,0,0,0
CONI18-034,NA,34_20180606_220000,2018-06-06,22:00:00,WRI,Wetland-riparian,1,5,0
CONI18-034,NA,34_20180607_230000,2018-06-07,23:00:00,WRI,Wetland-riparian,0,0,0
CONI18-035,NA,35_20180607_220000,2018-06-07,22:00:00,RSH,Riparian-mixed shrub,2,132,6
CONI18-035,NA,35_20180601_230000,2018-06-01,23:00:00,RSH,Riparian-mixed shrub,1,1,0
CONI18-036,NA,36_20180601_230000,2018-06-01,23:00:00,DSH,Deciduous-shrub,1,31,0
CONI18-036,NA,36_20180603_220000,2018-06-03,22:00:00,DSH,Deciduous-shrub,2,282,15
CONI18-038,NA,38_20180602_220000,2018-06-02,22:00:00,ANT,Anthropogenic,3,20,20
CONI18-038,NA,38_20180606_220000,2018-06-06,22:00:00,ANT,Anthropogenic,2,237,17
CONI18-040,NA,40_20180602_220000,2018-06-02,22:00:00,DSH,Deciduous-shrub,3,6,20
CONI18-040,NA,40_20180607_230000,2018-06-07,23:00:00,DSH,Deciduous-shrub,1,83,6
CONI18-041,NA,41_20180602_230000,2018-06-02,23:00:00,RSH,Riparian-mixed shrub,0,0,0
CONI18-041,NA,41_20180606_230000,2018-06-06,23:00:00,RSH,Riparian-mixed shrub,2,144,5
CONI18-043,NA,43_20180601_220000,2018-06-01,22:00:00,DSH,Deciduous-shrub,2,10,1
CONI18-043,NA,43_20180607_220000,2018-06-07,22:00:00,DSH,Deciduous-shrub,2,167,4
CONI18-046,NA,46_20180602_220000,2018-06-02,22:00:00,WSH,Wetland-shrub,0,0,0
CONI18-046,NA,46_20180607_230000,2018-06-07,23:00:00,WSH,Wetland-shrub,1,150,5
CONI18-047,NA,47_20180602_220000,2018-06-02,22:00:00,CUL,Cultivated,1,9,0
CONI18-047,NA,47_20180606_220000,2018-06-06,22:00:00,CUL,Cultivated,1,21,6
CONI18-049,NA,49_20180606_230000,2018-06-06,23:00:00,ANT,Anthropogenic,1,1,0
CONI18-049,NA,49_20180607_230000,2018-06-07,23:00:00,ANT,Anthropogenic,2,90,2
CONI18-051,NA,51_20180601_230000,2018-06-01,23:00:00,WGR,Wetland-graminoid,2,240,0
CONI18-051,NA,51_20180602_220000,2018-06-02,22:00:00,WGR,Wetland-graminoid,1,36,10
CONI18-052,NA,52_20180601_230000,2018-06-01,23:00:00,WGR,Wetland-graminoid,0,0,0
CONI18-052,NA,52_20180602_220000,2018-06-02,22:00:00,WGR,Wetland-graminoid,0,0,0
CONI18-053,NA,53_20180602_230000,2018-06-02,23:00:00,CUL,Cultivated,1,0,1
CONI18-053,NA,53_20180606_220000,2018-06-06,22:00:00,CUL,Cultivated,1,61,7
CONI18-009,NA,9_20180611_230000,2018-06-11,23:00:00,RSH,Riparian-mixed shrub,2,216,16
CONI18-009,NA,9_20180614_230000,2018-06-14,23:00:00,RSH,Riparian-mixed shrub,4,503,31
CONI18-010,NA,10_20180610_220000,2018-06-10,22:00:00,RSH,Riparian-mixed shrub,2,255,22
CONI18-010,NA,10_20180615_220000,2018-06-15,22:00:00,RSH,Riparian-mixed shrub,3,110,24
CONI18-011,NA,11_20180611_220000,2018-06-11,22:00:00,NVE,Non-vegetated,2,209,18
CONI18-011,NA,11_20180614_230000,2018-06-14,23:00:00,NVE,Non-vegetated,2,49,2
CONI18-012,NA,12_20180609_230000,2018-06-09,23:00:00,NVE,Non-vegetated,0,0,0
CONI18-012,NA,12_20180614_230000,2018-06-14,23:00:00,NVE,Non-vegetated,1,50,0
CONI18-013,NA,13_20180609_230000,2018-06-09,23:00:00,WRI,Wetland-riparian,1,5,4
CONI18-013,NA,13_20180612_230000,2018-06-12,23:00:00,WRI,Wetland-riparian,1,4,7
CONI18-014,NA,14_20180609_230000,2018-06-09,23:00:00,RSH,Riparian-mixed shrub,1,46,2
CONI18-014,NA,14_20180611_220000,2018-06-11,22:00:00,RSH,Riparian-mixed shrub,2,112,9
CONI18-015,NA,15_20180609_230000,2018-06-09,23:00:00,NVE,Non-vegetated,0,0,0
CONI18-015,NA,15_20180612_220000,2018-06-12,22:00:00,NVE,Non-vegetated,3,307,27
CONI18-016,NA,16_20180615_220000,2018-06-15,22:00:00,DSH,Deciduous-shrub,1,49,12
CONI18-016,NA,16_20180610_220000,2018-06-10,22:00:00,DSH,Deciduous-shrub,1,12,0
CONI18-017,NA,17_20180612_230000,2018-06-12,23:00:00,WRI,Wetland-riparian,0,0,0
CONI18-017,NA,17_20180615_230000,2018-06-15,23:00:00,WRI,Wetland-riparian,1,67,0
CONI18-018,NA,18_20180611_220000,2018-06-11,22:00:00,RSH,Riparian-mixed shrub,3,399,26
CONI18-018,NA,18_20180614_230000,2018-06-14,23:00:00,RSH,Riparian-mixed shrub,2,177,12
CONI18-019,NA,19_20180610_220000,2018-06-10,22:00:00,RSH,Riparian-mixed shrub,3,270,10
CONI18-019,NA,19_20180611_230000,2018-06-11,23:00:00,RSH,Riparian-mixed shrub,2,71,0
CONI18-020,NA,20_20180609_230000,2018-06-09,23:00:00,DSH,Deciduous-shrub,1,61,0
CONI18-020,NA,20_20180615_220000,2018-06-15,22:00:00,DSH,Deciduous-shrub,1,59,14
CONI18-021,NA,21_20180609_220000,2018-06-09,22:00:00,RSH,Riparian-mixed shrub,2,72,17
CONI18-021,NA,21_20180615_230000,2018-06-15,23:00:00,RSH,Riparian-mixed shrub,2,319,23
CONI18-022,NA,22_20180612_230000,2018-06-12,23:00:00,RSH,Riparian-mixed shrub,2,118,9
CONI18-022,NA,22_20180615_220000,2018-06-15,22:00:00,RSH,Riparian-mixed shrub,3,323,39
CONI18-027,NA,27_20180614_220000,2018-06-14,22:00:00,RSH,Riparian-mixed shrub,4,591,37
CONI18-027,NA,27_20180617_230000,2018-06-17,23:00:00,RSH,Riparian-mixed shrub,4,730,68
CONI18-059,NA,59_20180620_230000,2018-06-20,23:00:00,RSH,Riparian-mixed shrub,3,511,36
CONI18-059,NA,59_20180622_230000,2018-06-22,23:00:00,RSH,Riparian-mixed shrub,4,521,23
CONI18-060,NA,60_20180621_230000,2018-06-21,23:00:00,NVE,Non-vegetated,2,249,4
CONI18-060,NA,60_20180619_220000,2018-06-19,22:00:00,NVE,Non-vegetated,2,204,10
CONI18-061,NA,61_20180622_230000,2018-06-22,23:00:00,WRI,Wetland-riparian,3,333,17
CONI18-061,NA,61_20180621_220000,2018-06-21,22:00:00,WRI,Wetland-riparian,4,370,24
CONI18-064,NA,64_20180623_220000,2018-06-23,22:00:00,CUL,Cultivated,0,0,0
CONI18-064,NA,64_20180620_220000,2018-06-20,22:00:00,CUL,Cultivated,0,0,0
CONI18-065,NA,65_20180621_230000,2018-06-21,23:00:00,CUL,Cultivated,0,0,0
CONI18-065,NA,65_20180623_230000,2018-06-23,23:00:00,CUL,Cultivated,0,0,0
CONI18-066,NA,66_20180621_220000,2018-06-21,22:00:00,NVE,Non-vegetated,2,48,7
CONI18-066,NA,66_20180622_230000,2018-06-22,23:00:00,NVE,Non-vegetated,1,48,0
CONI18-067,NA,67_20180623_220000,2018-06-23,22:00:00,NVE,Non-vegetated,1,6,1
CONI18-067,NA,67_20180620_230000,2018-06-20,23:00:00,NVE,Non-vegetated,1,110,9
CONI18-069,NA,69_20180621_220000,2018-06-21,22:00:00,DSH,Deciduous-shrub,1,41,0
