Station,Recording1,Recording2,REC_ID1,REC_ID2,Year,Date1,Time1,Date2,Time2,BHCname,BHC,Boom1,Boom2
CONI18-033,33_20180606_220000,33_20180601_230000,33-11,33-2,2018,2018-06-06,22:00:00,2018-06-29,22:00:00,Cultivated,CUL,1,0
CONI18-034,34_20180606_220000,34_20180607_230000,34-11,34-14,2018,2018-06-01,23:00:00,2019-06-03,23:00:00,Wetland-riparian,WRI,0,0
CONI18-035,35_20180607_220000,35_20180601_230000,35-13,35-2,2018,2018-06-06,22:00:00,2019-06-02,22:00:00,Riparian-mixed shrub,RSH,1,0
CONI18-036,36_20180601_230000,36_20180603_220000,36-2,36-5,2018,2018-06-07,23:00:00,2019-06-03,22:00:00,Deciduous-shrub,DSH,0,1
CONI18-038,38_20180602_220000,38_20180606_220000,38-3,38-11,2018,2018-06-07,22:00:00,2019-06-02,22:00:00,Anthropogenic,ANT,1,1
CONI18-040,40_20180602_220000,40_20180607_230000,40-3,40-14,2018,2018-06-01,23:00:00,2019-06-03,22:00:00,Deciduous-shrub,DSH,1,1
CONI18-041,41_20180602_230000,41_20180606_230000,41-4,41-12,2018,2018-06-01,23:00:00,2019-05-31,23:00:00,Riparian-mixed shrub,RSH,0,1
CONI18-043,43_20180601_220000,43_20180607_220000,43-1,43-13,2018,2018-06-03,22:00:00,2019-06-03,22:00:00,Deciduous-shrub,DSH,1,1
CONI18-046,46_20180602_220000,46_20180607_230000,46-3,46-14,2018,2018-06-02,22:00:00,2019-06-01,22:00:00,Wetland-shrub,WSH,0,1
CONI18-047,47_20180602_220000,47_20180606_220000,47-3,47-11,2018,2018-06-06,22:00:00,2019-06-01,23:00:00,Cultivated,CUL,0,1
CONI18-049,49_20180606_230000,49_20180607_230000,49-12,49-14,2018,2018-06-02,22:00:00,2019-06-03,22:00:00,Anthropogenic,ANT,0,1
CONI18-051,51_20180601_230000,51_20180602_220000,51-2,51-3,2018,2018-06-07,23:00:00,2019-06-01,22:00:00,Wetland-graminoid,WGR,0,1
CONI18-052,52_20180601_230000,52_20180602_220000,52-2,52-3,2018,2018-06-02,23:00:00,2019-06-02,23:00:00,Wetland-graminoid,WGR,0,0
CONI18-053,53_20180602_230000,53_20180606_220000,53-4,53-11,2018,2018-06-06,23:00:00,2019-06-05,22:00:00,Cultivated,CUL,1,1
CONI18-009,9_20180611_230000,9_20180614_230000,9-6,9-12,2018,2018-06-01,22:00:00,2019-06-03,23:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-010,10_20180610_220000,10_20180615_220000,10-3,10-13,2018,2018-06-07,22:00:00,2019-06-04,22:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-011,11_20180611_220000,11_20180614_230000,11-5,11-12,2018,2018-06-02,22:00:00,2019-05-31,23:00:00,Non-vegetated,NVE,1,1
CONI18-012,12_20180609_230000,12_20180614_230000,12-2,12-12,2018,2018-06-07,23:00:00,2019-05-31,23:00:00,Non-vegetated,NVE,0,0
CONI18-013,13_20180609_230000,13_20180612_230000,13-2,13-8,2018,2018-06-02,22:00:00,2019-06-02,22:00:00,Wetland-riparian,WRI,1,1
CONI18-014,14_20180609_230000,14_20180611_220000,14-2,14-5,2018,2018-06-06,22:00:00,2019-06-05,22:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-015,15_20180609_230000,15_20180612_220000,15-2,15-7,2018,2018-06-06,23:00:00,2019-06-03,22:00:00,Non-vegetated,NVE,0,1
CONI18-016,16_20180615_220000,16_20180610_220000,16-13,16-3,2018,2018-06-07,23:00:00,2019-06-04,22:00:00,Deciduous-shrub,DSH,1,0
CONI18-017,17_20180612_230000,17_20180615_230000,17-8,17-14,2018,2018-06-01,23:00:00,2019-06-05,23:00:00,Wetland-riparian,WRI,0,0
CONI18-018,18_20180611_220000,18_20180614_230000,18-5,18-12,2018,2018-06-02,22:00:00,2019-06-02,23:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-019,19_20180610_220000,19_20180611_230000,19-3,19-6,2018,2018-06-01,23:00:00,2019-06-03,23:00:00,Riparian-mixed shrub,RSH,1,0
CONI18-020,20_20180609_230000,20_20180615_220000,20-2,20-13,2018,2018-06-02,22:00:00,2019-06-03,23:00:00,Deciduous-shrub,DSH,0,1
CONI18-021,21_20180609_220000,21_20180615_230000,21-1,21-14,2018,2018-06-02,23:00:00,2019-06-05,23:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-022,22_20180612_230000,22_20180615_220000,22-8,22-13,2018,2018-06-06,22:00:00,2019-06-02,22:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-027,27_20180614_220000,27_20180617_230000,27-5,27-12,2018,2018-06-11,23:00:00,2019-06-03,22:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-059,59_20180620_230000,59_20180622_230000,59-4,59-8,2018,2018-06-14,23:00:00,2019-05-31,23:00:00,Riparian-mixed shrub,RSH,1,1
CONI18-060,60_20180621_230000,60_20180619_220000,60-6,60-1,2018,2018-06-10,22:00:00,2019-06-02,22:00:00,Non-vegetated,NVE,1,1
CONI18-061,61_20180622_230000,61_20180621_220000,61-8,61-5,2018,2018-06-15,22:00:00,2019-06-10,22:00:00,Wetland-riparian,WRI,1,1
CONI18-064,64_20180623_220000,64_20180620_220000,64-9,64-3,2018,2018-06-11,22:00:00,2019-06-13,22:00:00,Cultivated,CUL,0,0
CONI18-065,65_20180621_230000,65_20180623_230000,65-6,65-10,2018,2018-06-14,23:00:00,2019-06-13,22:00:00,Cultivated,CUL,0,0
CONI18-066,66_20180621_220000,66_20180622_230000,66-5,66-8,2018,2018-06-09,23:00:00,2019-06-10,23:00:00,Non-vegetated,NVE,1,0
