StationID,BHC20_100,area.x,BHC20_250,area.y,BHC33_100,area.x.x,BHC33_250,area.y.y
85-C-01,NVE,19016.5956,NVE,103403.4883,NVE,19016.5956,NVE,103403.4883
85-C-02,ANT,16532.2942,CUL,123159.8294,ANT,16532.2942,CUL,123159.8294
85-C-03,CUL,21583.56169,CUL,167790.6831,CUL,21583.56169,CUL,167790.6831
85-C-04,CUL,31415.92654,CUL,148284.1436,CUL,31415.92654,CUL,148284.1436
85-C-05,ANT,19287.34666,CUL,162073.0172,ANT,19287.34666,CUL,162073.0172
85-C-06,CUL,29195.59601,CUL,189120.0014,CUL,29195.59601,CUL,189120.0014
85-C-07,ANT,16252.00228,CUL,105665.4876,ANT,16252.00228,CUL,105665.4876
AE-C-01,DYF,23935.56896,DYF,152950.9509,DYF-At,23935.56896,DYF-At,152950.9509
AE-C-02,CUL,19914.29698,CUL,88806.05077,CUL,19914.29698,CUL,88806.05077
AE-C-03,CYF,11312.97262,CYF,62732.47001,CYF-Sw,11312.97262,CYF-Sw,62732.47001
AE-C-04,CYF,15705.37514,CYF,87310.22333,CYF-Sw,15705.37514,CYF-Sw,87310.22333
AE-C-05,CYF,19157.06425,CYF,143232.7787,CYF-Sw,19157.06425,CYF-Sw,143232.7787
AE-C-06,CYF,30693.37698,CYF,180114.7736,CYF-Sw,30693.37698,CYF-Sw,180114.7736
AE-C-07,DYF,30974.39549,DYF,139473.9877,DYF-At,30974.39549,DYF-At,139473.9877
AE-C-08,CMF,31415.92654,CMF,137470.2824,CMF-Sw,31415.92654,CMF-Sw,137470.2824
AE-C-09,DYF,20251.23689,DYF,122758.5098,DYF-At,20251.23689,DYF-At,122758.5098
AE-C-10,CUL,18064.89124,CUL,95334.04279,CUL,18064.89124,CUL,95334.04279
AE-C-11,DMF,24380.19896,DMF,107776.4683,DMF-At,24380.19896,DMF-At,107776.4683
AE-C-12,DMF,29751.13089,DMF,137992.0842,DMF-At,29751.13089,DMF-At,137992.0842
CH01-1,DYF,10540.02725,WAT,65838.74882,DYF-At,10540.02725,WAT,65838.74882
CH01-2,DYF,31131.43632,DYF,119316.1772,DYF-At,31131.43632,DYF-At,119316.1772
CH01-3,CUL,31282.46605,CUL,154174.4885,CUL,31282.46605,CUL,154174.4885
CL04-1,DYF,23778.28666,DYF,113074.5985,DYF-At,23778.28666,DYF-At,113074.5985
CL04-2,CUL,31415.48768,CUL,196348.8081,CUL,31415.48768,CUL,196348.8081
CL04-3,CUL,31415.69215,CUL,182737.5351,CUL,31415.69215,CUL,182737.5351
CL04-4,CUL,31415.92654,CUL,196349.4133,CUL,31415.92654,CUL,196349.4133
CL04-5,CUL,24700.8202,CUL,152820.6351,CUL,24700.8202,CUL,152820.6351
CL04-6,CUL,31415.73031,CUL,171537.7249,CUL,31415.73031,CUL,171537.7249
CL04-7,CUL,31415.92654,CUL,196348.7111,CUL,31415.92654,CUL,196348.7111
CL04-8,CUL,28848.78067,CUL,119283.4203,CUL,28848.78067,CUL,119283.4203
CL05-1,CUL,31415.92654,CUL,196348.8629,CUL,31415.92654,CUL,196348.8629
CL05-2,CUL,31415.92654,CUL,195316.7767,CUL,31415.92654,CUL,195316.7767
CL05-3,CUL,31415.56421,CUL,196349.2845,CUL,31415.56421,CUL,196349.2845
CL05-4,CUL,31415.92654,CUL,187200.1737,CUL,31415.92654,CUL,187200.1737
CL05-5,CUL,31415.66838,CUL,192399.4291,CUL,31415.66838,CUL,192399.4291
CL05-6,CUL,23754.06412,CUL,149450.0794,CUL,23754.06412,CUL,149450.0794
CL05-7,CUL,19680.56766,CUL,115820.9267,CUL,19680.56766,CUL,115820.9267
CONI18-009,RSH,16692.78419,RYF,88360.13803,RSH-Ac,16692.78419,RYF-Ac,88360.13803
CONI18-010,RSH,21373.65443,CMF,58590.92579,RSH-Ac,21373.65443,CMF-Sw,58590.92579
CONI18-011,NVE,31414.58646,NVE,142372.5775,NVE,31414.58646,NVE,142372.5775
CONI18-012,NVE,27806.6235,NVE,91816.12043,NVE,27806.6235,NVE,91816.12043
CONI18-013,RMF,16752.63051,DYF,67241.81148,RMF-Ac,16752.63051,DYF-At,67241.81148
CONI18-014,RSH,16281.613,RSH,60279.22902,RSH-Ac,16281.613,RSH-Ac,60279.22902
CONI18-015,NVE,31415.92654,NVE,130315.8553,NVE,31415.92654,NVE,130315.8553
CONI18-016,DSH,26680.64514,WAT,64962.55755,DSH-At,26680.64514,WAT,64962.55755
CONI18-017,DYF,18790.03896,DYF,110426.3533,DYF-At,18790.03896,DYF-At,110426.3533
CONI18-018,RSH,31035.70815,RSH,123682.02,RSH-Ac,31035.70815,RSH-Ac,123682.02
CONI18-019,RSH,30326.88227,RSH,104536.5178,RSH-Ac,30326.88227,RSH-Ac,104536.5178
CONI18-020,DSH,27788.76544,WAT,65693.10994,DSH-At,27788.76544,WAT,65693.10994
CONI18-021,RSH,30634.29015,WAT,83110.7764,RSH-Ac,30634.29015,WAT,83110.7764
CONI18-022,RSH,28175.83137,WAT,78675.24504,RSH-Ac,28175.83137,WAT,78675.24504
CONI18-023,NVE,23837.54639,NVE,73970.54248,NVE,23837.54639,NVE,73970.54248
CONI18-025,RSH,31415.54463,RSH,140176.0795,RSH-Ac,31415.54463,RSH-Ac,140176.0795
CONI18-026,RSH,29432.17389,RSH,59188.3144,RSH-Ac,29432.17389,RSH-Ac,59188.3144
CONI18-027,RSH,31415.92654,RSH,144280.4217,RSH-Ac,31415.92654,RSH-Ac,144280.4217
CONI18-028,DYF,16363.62071,DYF,87933.70928,DYF-At,16363.62071,DYF-At,87933.70928
CONI18-030,DYF,31415.68932,DYF,154520.1244,DYF-At,31415.68932,DYF-At,154520.1244
CONI18-032,CUL,31415.68351,CUL,162615.4927,CUL,31415.68351,CUL,162615.4927
CONI18-033,CUL,31415.92654,CUL,143802.7932,CUL,31415.92654,CUL,143802.7932
CONI18-034,WRI,16278.70079,CUL,89606.65195,WRI,16278.70079,CUL,89606.65195
CONI18-035,RMF,26957.4313,RMF,56128.84031,RMF-Ac,26957.4313,RMF-Ac,56128.84031
CONI18-036,DYF,31415.66632,DYF,128037.445,DYF-At,31415.66632,DYF-At,128037.445
CONI18-037,WRI,31415.92654,WRI,172129.0031,WRI,31415.92654,WRI,172129.0031
CONI18-038,DYF,28430.91288,DYF,134115.2902,DYF-At,28430.91288,DYF-At,134115.2902
CONI18-039,NVE,17999.13918,NVE,94218.16011,NVE,17999.13918,NVE,94218.16011
CONI18-040,DSH,26061.83699,DSH,71187.63096,DSH-At,26061.83699,DSH-At,71187.63096
CONI18-041,RYF,26995.49667,RYF,85342.728,RYF-Ac,26995.49667,RYF-Ac,85342.728
CONI18-043,DYF,31415.59854,DYF,147783.1248,DYF-At,31415.59854,DYF-At,147783.1248
CONI18-044,WRI,30754.9366,WRI,99139.21811,WRI,30754.9366,WRI,99139.21811
CONI18-045,RSH,25569.69996,RSH,94418.69234,RSH-Ac,25569.69996,RSH-Ac,94418.69234
CONI18-046,WSH,23884.87228,DYF,83612.09364,WSH,23884.87228,DYF-At,83612.09364
CONI18-047,CUL,17662.28763,CUL,94659.46346,CUL,17662.28763,CUL,94659.46346
CONI18-049,ANT,17186.88467,DYF,86713.94024,ANT,17186.88467,DYF-At,86713.94024
CONI18-050,RSH,31415.92654,RSH,118213.7001,RSH-Ac,31415.92654,RSH-Ac,118213.7001
CONI18-051,WGR,29458.35076,WGR,130395.71,WGR,29458.35076,WGR,130395.71
CONI18-052,WGR,24738.64431,WGR,77344.84837,WGR,24738.64431,WGR,77344.84837
CONI18-053,CUL,30436.78689,CUL,163955.6564,CUL,30436.78689,CUL,163955.6564
CONI18-056,CUL,31415.92654,CUL,150330.4915,CUL,31415.92654,CUL,150330.4915
CONI18-057,RSH,27733.40439,RSH,67248.03716,RSH-Ac,27733.40439,RSH-Ac,67248.03716
CONI18-058,WRI,19481.10952,WAT,61226.10411,WRI,19481.10952,WAT,61226.10411
CONI18-059,RSH,21514.32021,WAT,73283.88381,RSH-Ac,21514.32021,WAT,73283.88381
CONI18-060,NVE,20501.05602,WAT,58318.71444,NVE,20501.05602,WAT,58318.71444
CONI18-061,WRI,31415.92654,WRI,146996.4484,WRI,31415.92654,WRI,146996.4484
CONI18-063,RSH,19949.85536,WAT,59981.4867,RSH-Ac,19949.85536,WAT,59981.4867
CONI18-064,CUL,31415.51556,CUL,174226.4635,CUL,31415.51556,CUL,174226.4635
CONI18-065,CUL,31415.68634,CUL,191797.7535,CUL,31415.68634,CUL,191797.7535
CONI18-066,NVE,19961.7964,WAT,57725.4449,NVE,19961.7964,WAT,57725.4449
CONI18-067,NVE,24751.7526,WAT,118693.1823,NVE,24751.7526,WAT,118693.1823
CONI18-069,DSH,22103.6378,DSH,94091.04479,DSH-Ac,22103.6378,DSH-Ac,94091.04479
CONI18-071,NVE,13837.05648,WAT,89177.79404,NVE,13837.05648,WAT,89177.79404
CONI18-074,WAT,26961.12332,WAT,77987.0517,WAT,26961.12332,WAT,77987.0517
CONI18-076,RSH,31215.37064,RSH,141006.2176,RSH-Ac,31215.37064,RSH-Ac,141006.2176
CONI18-077,WRI,14901.66753,CYF,46270.79307,WRI,14901.66753,CYF-Sw,46270.79307
CONI18-078,DSH,11915.97779,DSH,63730.57553,DSH-Ac,11915.97779,DSH-Ac,63730.57553
CONI18-079,WRI,28480.72341,WRI,127406.2564,WRI,28480.72341,WRI,127406.2564
CONI18-080,WAT,14156.06297,DSH,69674.74564,WAT,14156.06297,DSH-At,69674.74564
CONI19-001,CUL,31415.92654,CUL,119417.9703,CUL,31415.92654,CUL,119417.9703
CONI19-002,CUL,25994.46387,CUL,117511.2277,CUL,25994.46387,CUL,117511.2277
CONI19-003,WAT,31415.92654,WAT,180036.6351,WAT,31415.92654,WAT,180036.6351
CONI19-004,CUL,31415.92654,CUL,177219.7739,CUL,31415.92654,CUL,177219.7739
CONI19-005,CUL,31415.92654,CUL,185959.9215,CUL,31415.92654,CUL,185959.9215
CONI19-006,RSH,31415.92654,RSH,108818.1531,RSH-Ac,31415.92654,RSH-Ac,108818.1531
CONI19-009,NVE,28950.61599,NVE,74483.54064,NVE,28950.61599,NVE,74483.54064
CONI19-010,RSH,29174.02664,RSH,100778.6415,RSH-Ac,29174.02664,RSH-Ac,100778.6415
CONI19-012,DSS,23744.48122,DSS,70326.51777,DSS,23744.48122,DSS,70326.51777
CONI19-013,DSG,28698.10928,DSG,75576.53066,DSG,28698.10928,DSG,75576.53066
CONI19-014,CUL,31389.13194,CUL,134525.9037,CUL,31389.13194,CUL,134525.9037
CONI19-015,DSS,21181.09996,DSS,130671.1147,DSS,21181.09996,DSS,130671.1147
CONI19-016,CUL,31415.92654,CUL,195128.994,CUL,31415.92654,CUL,195128.994
CONI19-017,CUL,28250.03572,CUL,130155.2505,CUL,28250.03572,CUL,130155.2505
CONI19-018,DSG,14307.45625,DSG,86877.72537,DSG,14307.45625,DSG,86877.72537
CONI19-044,WAT,23114.44963,WAT,112995.6104,WAT,23114.44963,WAT,112995.6104
CONI19-047,WRI,14422.52225,WAT,69768.4358,WRI,14422.52225,WAT,69768.4358
CONI19-049,NVE,31358.55207,NVE,127649.2376,NVE,31358.55207,NVE,127649.2376
CONI19-054,NVE,16589.2712,NVE,59680.99926,NVE,16589.2712,NVE,59680.99926
CONI19-059,NVE,25598.6699,NVE,87764.69927,NVE,25598.6699,NVE,87764.69927
CONI19-065,NVE,23706.58697,WAT,113841.842,NVE,23706.58697,WAT,113841.842
CONI19-080,RSH,21149.29092,WAT,65818.66996,RSH-Ac,21149.29092,WAT,65818.66996
CONI19-085,WRI,19326.04335,WRI,61289.39192,WRI,19326.04335,WRI,61289.39192
CONI19-091,NVE,17832.09042,NVE,103550.8523,NVE,17832.09042,NVE,103550.8523
CONI19-101,DMF,31415.92654,DMF,161159.6842,DMF-Ep,31415.92654,DMF-Ep,132827.8662
CONI19-102,WRI,28152.81777,WAT,83523.83824,WRI,28152.81777,WAT,83523.83824
CONI19-107,CUL,20313.35872,CUL,103803.2672,CUL,20313.35872,CUL,103803.2672
CONI19-108,RSH,20552.45357,WAT,64039.78762,RSH-Ac,20552.45357,WAT,64039.78762
CONI19-113,CYF,30522.42527,CYF,118992.7504,CYF-Sw,30522.42527,CYF-Sw,118992.7504
CONI19-114,RSH,29283.45284,RSH,81696.79009,RSH-Ac,29283.45284,RSH-Ac,81696.79009
CONI19-116,RSH,15460.78255,WAT,60848.55359,RSH-Ac,15460.78255,WAT,60848.55359
CONI19-118,DSG,22153.00892,DSG,95537.06067,DSG,22153.00892,DSG,95537.06067
CONI19-119,CUL,30899.52956,CUL,163758.1619,CUL,30899.52956,CUL,163758.1619
CONI19-120,CUL,29759.73517,CUL,96788.53149,CUL,29759.73517,CUL,96788.53149
CONI19-121,RSH,27152.92171,WAT,72191.27031,RSH-Ac,27152.92171,WAT,72191.27031
CONI19-126,CUL,31415.92654,CUL,106385.7407,CUL,31415.92654,CUL,106385.7407
CONI19-128,DSG,16575.85668,DSS,79012.06479,DSG,16575.85668,DSS,79012.06479
CONI19-129,RSH,21949.92885,RSH,61999.60825,RSH-Ac,21949.92885,RSH-Ac,61999.60825
CONI19-130,WRI,15133.9381,WAT,64937.47984,WRI,15133.9381,WAT,64937.47984
CONI19-136,CUL,31415.85707,CUL,141846.6374,CUL,31415.85707,CUL,141846.6374
