StationID,BHC33_1,Area (m)
85-C-01,CUL,3529.812329
85-C-01,DYF-At,8869.236331
85-C-01,NVE,19016.5956
85-C-02,ANT,16532.2942
85-C-02,CUL,14883.47593
85-C-03,CUL,21583.56169
85-C-03,DYF-At,9831.943631
85-C-04,CUL,31415.92654
85-C-05,ANT,19287.34666
85-C-05,CUL,12128.26497
85-C-06,ANT,2219.817722
85-C-06,CUL,29195.59601
85-C-07,ANT,16252.00228
85-C-07,CUL,15163.69192
AE-C-01,CUL,7479.92985
AE-C-01,DYF-At,23935.56896
AE-C-02,CUL,19914.29698
AE-C-02,DSH-At,904.585274
AE-C-02,DYF-At,10559.00447
AE-C-02,WRI,37.620095
AE-C-03,CUL,10584.77082
AE-C-03,CYF-Sw,11312.97262
AE-C-03,DYF-At,9517.818316
AE-C-04,CUL,6352.372932
AE-C-04,CYF-Sw,15705.37514
AE-C-04,DYF-At,9254.046989
AE-C-04,RMF-Ac,103.799218
AE-C-05,CYF-Sw,19157.06425
AE-C-05,DYF-At,12258.72623
AE-C-06,CUL,722.247253
AE-C-06,CYF-Sw,30693.37698
AE-C-07,DSS,441.364379
AE-C-07,DYF-At,30974.39549
AE-C-08,CMF-Sw,31415.92654
AE-C-09,CUL,11164.32468
AE-C-09,DYF-At,20251.23689
AE-C-10,ANT,13109.58554
AE-C-10,CUL,18064.89124
AE-C-10,DYF-At,241.068749
AE-C-11,CUL,7035.272418
AE-C-11,DMF-At,24380.19896
AE-C-12,CUL,1664.416146
AE-C-12,DMF-At,29751.13089
CH01-1,DSS,6740.726003
CH01-1,DYF-At,10540.02725
CH01-1,RYF-Ac,5719.807575
CH01-1,WAT,5906.230723
CH01-1,WRI,2508.710138
CH01-2,CUL,284.285071
CH01-2,DYF-At,31131.43632
CH01-3,CUL,31282.46605
CH01-3,DYF-At,133.360273
CL04-1,ANT,7116.264697
CL04-1,CUL,520.973316
CL04-1,DYF-At,23778.28666
CL04-2,CUL,31415.48768
CL04-3,CUL,31415.69215
CL04-4,CUL,31415.92654
CL04-5,CUL,24700.8202
CL04-5,CYF-Sw,5312.175747
CL04-5,DYF-At,1402.594057
CL04-6,CUL,31415.73031
CL04-7,CUL,31415.92654
CL04-8,CUL,28848.78067
CL04-8,DYF-At,2566.831341
CL05-1,CUL,31415.92654
CL05-2,CUL,31415.92654
CL05-3,CUL,31415.56421
CL05-4,CUL,31415.92654
CL05-5,CUL,31415.66838
CL05-6,CUL,23754.06412
CL05-6,DYF-At,7661.72093
CL05-7,CUL,19680.56766
CL05-7,DSS,9813.157288
CL05-7,DYF-At,1921.868345
CONI18-009,RSH-Ac,16692.78419
CONI18-009,RYF-Ac,11277.07036
CONI18-009,WAT,3445.823581
CONI18-010,CMF-Sw,3184.775019
CONI18-010,RSH-Ac,21373.65443
CONI18-010,WAT,6857.197953
CONI18-011,NVE,31414.58646
CONI18-011,WAT,0.999755
CONI18-012,DYF-At,3609.173173
CONI18-012,NVE,27806.6235
CONI18-013,DYF-At,190.828222
CONI18-013,NVE,14449.01746
CONI18-013,RMF-Ac,16752.63051
CONI18-013,RYF-Ac,23.242802
CONI18-014,RSH-Ac,16281.613
CONI18-014,RYF-Ac,15134.18099
CONI18-015,NVE,31415.92654
CONI18-016,DSG,107.120067
CONI18-016,DSH-At,26680.64514
CONI18-016,WAT,4627.727576
CONI18-017,DYF-At,18790.03896
CONI18-017,RSH-Ac,12625.50435
CONI18-018,DYF-At,379.951478
CONI18-018,RSH-Ac,31035.70815
CONI18-019,DSH-At,955.405529
CONI18-019,RSH-Ac,30326.88227
CONI18-019,WAT,133.109676
CONI18-020,DSH-At,27788.76544
CONI18-020,DSS,295.147525
CONI18-020,DYF-At,467.116367
CONI18-020,NVE,179.639812
CONI18-020,WAT,2684.737107
CONI18-021,RSH-Ac,30634.29015
CONI18-021,RYF-Ac,355.723878
CONI18-021,WAT,425.51792
CONI18-022,NVE,3239.708613
CONI18-022,RSH-Ac,28175.83137
CONI18-023,DMF-Ac,5647.276681
CONI18-023,DMF-At,1930.695288
CONI18-023,NVE,23837.54639
CONI18-025,RSH-Ac,31415.54463
CONI18-026,NVE,1122.474434
CONI18-026,RSH-Ac,29432.17389
CONI18-026,WAT,860.968283
CONI18-027,RSH-Ac,31415.92654
CONI18-028,DYF-At,16363.62071
CONI18-028,NVE,257.157294
CONI18-028,WAT,14794.81117
CONI18-030,DYF-At,31415.68932
CONI18-032,CUL,31415.68351
CONI18-033,CUL,31415.92654
CONI18-034,CUL,13202.65252
CONI18-034,NVE,1934.287873
CONI18-034,WRI,16278.70079
CONI18-035,CMF-Sw,19.303652
CONI18-035,DSS,384.224797
CONI18-035,DYF-At,143.562835
CONI18-035,NVE,3896.522254
CONI18-035,RMF-Ac,26957.4313
CONI18-035,WRI,14.409063
CONI18-036,DYF-At,31415.66632
CONI18-037,WRI,31415.92654
CONI18-038,DSG,2984.523739
CONI18-038,DYF-At,28430.91288
CONI18-039,NVE,17999.13918
CONI18-039,RSH-Ac,13416.48396
CONI18-040,CMF-Sw,910.257256
CONI18-040,DSH-At,26061.83699
CONI18-040,DYF-At,4443.415167
CONI18-041,CUL,1954.831642
CONI18-041,NVE,2465.418419
CONI18-041,RYF-Ac,26995.49667
CONI18-043,DYF-At,31415.59854
CONI18-044,NVE,660.757786
CONI18-044,WRI,30754.9366
CONI18-045,RSH-Ac,25569.69996
CONI18-045,WAT,5845.990227
CONI18-046,CUL,1212.069252
CONI18-046,DYF-At,6318.518567
CONI18-046,WSH,23884.87228
CONI18-047,CMF-Sw,1777.90718
CONI18-047,CUL,17662.28763
CONI18-047,DSH-At,11975.30697
CONI18-049,ANT,17186.88467
CONI18-049,DYF-At,14228.65868
CONI18-050,RSH-Ac,31415.92654
CONI18-051,DYF-At,1957.028126
CONI18-051,WGR,29458.35076
CONI18-052,CUL,6676.94279
CONI18-052,WGR,24738.64431
CONI18-053,CUL,30436.78689
CONI18-053,DSH-At,978.584078
CONI18-056,CUL,31415.92654
CONI18-057,NVE,3682.162603
CONI18-057,RSH-Ac,27733.40439
CONI18-058,NVE,199.215287
CONI18-058,RSH-Ac,3855.924467
CONI18-058,WAT,7879.265143
CONI18-058,WRI,19481.10952
CONI18-059,NVE,1964.433586
CONI18-059,RSH-Ac,21514.32021
CONI18-059,WAT,7936.780665
CONI18-060,NVE,20501.05602
CONI18-060,RYF-Ac,5275.805074
CONI18-060,WAT,751.472435
CONI18-060,WRI,4887.235771
CONI18-061,WRI,31415.92654
CONI18-063,RSH-Ac,19949.85536
CONI18-063,RYF-Ac,9456.175631
CONI18-063,WAT,2009.483574
CONI18-064,CUL,31415.51556
CONI18-065,CUL,31415.68634
CONI18-066,CMF-Sw,2849.667849
CONI18-066,NVE,19961.7964
CONI18-066,RYF-Ac,115.46512
CONI18-066,WAT,8488.591148
CONI18-067,NVE,24751.7526
CONI18-067,WAT,6663.920053
CONI18-069,DSH-Ac,22103.6378
CONI18-069,RSH-Ac,9136.494184
CONI18-069,WAT,175.4763
CONI18-071,NVE,13837.05648
CONI18-071,RSH-Ac,4266.691893
CONI18-071,WAT,13311.89787
CONI18-074,CMF-Sw,2067.807503
CONI18-074,DSG,2386.596997
CONI18-074,WAT,26961.12332
CONI18-076,RSH-Ac,31215.37064
CONI18-076,WAT,200.334316
CONI18-077,CYF-Sw,5574.202217
CONI18-077,RSH-Ac,9477.418095
CONI18-077,RYF-Ac,1462.319148
CONI18-077,WRI,14901.66753
CONI18-078,DSG,1089.352581
CONI18-078,DSH-Ac,11915.97779
CONI18-078,DYF-At,853.158794
CONI18-078,RSH-Ac,8521.516544
CONI18-078,WAT,7382.273454
CONI18-078,WRI,1653.218371
CONI18-079,WAT,2935.059361
CONI18-079,WRI,28480.72341
CONI18-080,CMF-Sw,4665.025444
CONI18-080,DSH-At,6518.316075
CONI18-080,WAT,14156.06297
CONI18-080,WRI,6076.203896
CONI19-001,CUL,31415.92654
CONI19-002,CUL,25994.46387
CONI19-002,RSH-Ac,4529.52991
CONI19-002,WAT,891.408906
CONI19-003,WAT,31415.92654
CONI19-004,CUL,31415.92654
CONI19-005,CUL,31415.92654
CONI19-006,RSH-Ac,31415.92654
CONI19-009,NVE,28950.61599
CONI19-009,RMF-Ac,294.045646
CONI19-009,WAT,2170.938225
CONI19-010,RSH-Ac,29174.02664
CONI19-010,RYF-Ac,2031.768552
CONI19-010,WAT,209.855908
CONI19-012,CYF-Sw,4207.880033
CONI19-012,DSG,3463.277982
CONI19-012,DSS,23744.48122
CONI19-013,DSG,28698.10928
CONI19-013,DSH-At,903.795046
CONI19-013,DSS,1813.505711
CONI19-014,CUL,31389.13194
CONI19-014,DSS,26.542157
CONI19-015,DSG,10234.45446
CONI19-015,DSS,21181.09996
CONI19-016,CUL,31415.92654
CONI19-017,CUL,28250.03572
CONI19-017,DSG,3165.607216
CONI19-018,DSG,14307.45625
CONI19-018,DYF-At,4277.324927
CONI19-018,NVE,12830.86511
CONI19-044,CMF-Sw,657.633401
CONI19-044,NVE,7643.662544
CONI19-044,WAT,23114.44963
CONI19-047,CYF-Sw,776.695746
CONI19-047,NVE,12788.77316
CONI19-047,WAT,3427.614521
CONI19-047,WRI,14422.52225
CONI19-049,NVE,31358.55207
CONI19-049,WAT,56.919245
CONI19-054,NVE,16589.2712
CONI19-054,WAT,3319.761817
CONI19-054,WRI,11506.61671
CONI19-059,NVE,25598.6699
CONI19-059,WAT,5817.034605
CONI19-065,NVE,23706.58697
CONI19-065,WAT,7708.9397
CONI19-080,RMF-Ac,6433.685478
CONI19-080,RSH-Ac,21149.29092
CONI19-080,WAT,3832.568622
CONI19-085,DYF-At,3465.213624
CONI19-085,RSH-Ac,8624.319889
CONI19-085,WRI,19326.04335
CONI19-091,CYF-Sw,13583.50369
CONI19-091,NVE,17832.09042
CONI19-101,DMF-Ep,31415.92654
CONI19-102,NVE,3262.803689
CONI19-102,WRI,28152.81777
CONI19-107,CUL,20313.35872
CONI19-107,WAT,11102.30962
CONI19-108,CYF-Sw,732.332863
CONI19-108,DYF-At,661.295703
CONI19-108,RSH-Ac,20552.45357
CONI19-108,WAT,3395.492253
CONI19-108,WRI,6073.982363
CONI19-113,CYF-Sw,30522.42527
CONI19-113,NVE,893.325079
CONI19-114,NVE,2132.073321
CONI19-114,RSH-Ac,29283.45284
CONI19-116,CUL,2026.302957
CONI19-116,DSG,1676.943791
CONI19-116,DSH-Ac,6820.197538
CONI19-116,NVE,2795.60081
CONI19-116,RSH-Ac,15460.78255
CONI19-116,WAT,2635.678853
CONI19-118,DSG,22153.00892
CONI19-118,DSS,9262.573632
CONI19-119,CUL,30899.52956
CONI19-119,DSH-At,516.077606
CONI19-120,CUL,29759.73517
CONI19-120,DSH-Ac,758.313536
CONI19-120,DYF-At,660.592374
CONI19-120,WAT,236.892048
CONI19-121,NVE,4004.615224
CONI19-121,RSH-Ac,27152.92171
CONI19-121,WAT,257.997617
CONI19-126,CUL,31415.92654
CONI19-128,DSG,16575.85668
CONI19-128,DSS,13783.4044
CONI19-128,DYF-At,1056.351593
CONI19-129,NVE,8014.486384
CONI19-129,RSH-Ac,21949.92885
CONI19-129,WAT,1451.12884
CONI19-130,NVE,14927.86784
CONI19-130,WAT,1353.618772
CONI19-130,WRI,15133.9381
CONI19-136,CUL,31415.85707
CONI19-138,CUL,30801.66563
CONI19-138,WAT,613.765782
CONI19-141,NVE,31415.92654
CONI19-142,DSH-At,31415.92654
CONI19-145,ANT,14182.64621
CONI19-145,DYF-At,12571.36266
CONI19-145,NVE,4392.453489
CONI19-145,WAT,269.033528
CONI19-148,CUL,569.69732
CONI19-148,DYF-Ac,1937.328022
CONI19-148,DYF-At,28908.58169
CONI19-152,CMF-Sw,4556.875089
CONI19-152,NVE,25626.64294
CONI19-152,RMF-Ac,743.023245
CONI19-152,WRI,488.916528
CONI19-157,CMF-Sw,11110.43959
CONI19-157,NVE,11527.58171
CONI19-157,WRI,8777.55434
CONI19-159,CMF-Sw,4012.571521
CONI19-159,NVE,5358.178216
CONI19-159,WRI,22044.77292
CONI19-173,NVE,4393.617196
CONI19-173,RSH-Ac,27022.03872
CONI19-180,CMF-Sw,2450.982096
CONI19-180,DYF-At,2301.711856
CONI19-180,NVE,25872.32971
CONI19-180,WAT,790.52066
CONI19-181,NVE,18820.27381
CONI19-181,RSH-Ac,3640.09116
CONI19-181,WAT,2741.139631
CONI19-181,WRI,6213.998709
CONI19-185,CMF-Sw,10900.18871
CONI19-185,CSH-Sw,11712.89864
CONI19-185,DYF-At,8802.565697
CONI19-187,CMF-Sw,379.639903
CONI19-187,CUL,9568.861922
CONI19-187,NVE,4900.512226
CONI19-187,RSH-Ac,11897.28679
CONI19-187,WAT,4655.68305
CONI19-187,WRI,13.488467
CONI19-205,DSH-Ep,31415.92654
CONI19-208,CUL,31415.92654
CONI19-209,CUL,31415.45398
CONI19-211,WGR,31415.92654
CONI19-214,CUL,31415.92654
CR-E-01,CUL,30584.42831
CR-E-01,DYF-At,831.291259
CR-E-02,CSH-Sw,156.895226
CR-E-02,CUL,31258.66868
CR-E-03,CSH-Sw,255.535671
CR-E-03,CUL,31159.89774
CR-E-04,CSH-Sw,5542.256542
CR-E-04,CUL,25748.29239
CR-E-04,WGR,124.752824
CR-E-05,CUL,29463.05834
CR-E-05,WGR,1952.669723
CR-E-06,CUL,31415.92654
CR-E-07,CUL,31415.74034
CR-E-08,CUL,25573.88456
CR-E-08,DSH-At,5841.833095
CR-E-09,CUL,31346.08318
CR-E-09,DSH-At,69.658375
DR01-1,CUL,31415.92654
DR01-10,FBS-Lt,17666.24968
DR01-10,FBS-Sb,13749.29342
DR01-11,FBS-Lt,29211.84993
DR01-11,WAT,2203.902612
DR01-12,DYF-At,7053.80932
DR01-12,FBS-Lt,18119.58362
DR01-12,WAT,6242.170657
DR01-13,ANT,5927.436196
