SampleID,Year,Date,Detect_Type,Detect_Type2,Detect_Time,Call_Type,Detect_Distance_m,DistClass,Activity,Count,Call playback
85-C-04-2,2012,2012-06-24,H,H,,CA,0,1,,1,y
AE-C-03-2,2012,2012-06-30,VI,V,,CA,0,1,,1,n
AE-C-03-3,2012,2012-07-02,VI,V,,,0,1,,1,n
AE-C-03-3,2012,2012-07-02,VI,H,,CA,0,1,,1,n
AE-C-07-2,2012,2012-06-30,VI,H,,CA,0,1,,1,y
AE-C-08-2,2012,2012-06-30,VI,H,,,0,1,,2,n
AE-C-10-2,2012,2012-06-30,VI,H,,CA,0,1,,1,n
AE-C-10-3,2012,2012-07-02,VI,H,,CA,0,1,,1,n
CL05-4-2,2010,2010-07-01,VI,V,12:03:00 AM,,0,1,TF,1,y
DR03-2-2,2010,2010-06-21,H,H,11:16:00 PM,CA,0,1,LI,1,y
HH01-2-1,2010,2010-05-31,H,H,10:45:00 PM,CA,0,1,TE,1,y
HH01-5-2,2010,2010-06-11,VI,V,11:10:00 PM,,0,1,LI,1,y
HH02-1-3,2010,2010-08-01,VI,V,10:07:00 PM,,0,1,AL,1,y
HW01-4-1,2010,2010-05-29,H,H,10:19:00 PM,CA,0,1,TE,1,y
TR01s-7-2,2010,2010-06-22,VI,V,12:31:00 AM,,0,1,LI,1,y
TR01s-5-4,2010,2010-07-29,VI,V,11:26:00 PM,,30,1,TF,1,y
TR01n-4-4,2010,2010-07-29,VI,H,1:19:00 AM,,40,1,HU,1,y
AE-C-02-3,2012,2012-07-02,H,H,,CA,75,2,,1,n
AE-C-07-2,2012,2012-06-30,VI,H,,CA,75,2,,1,y
AE-C-10-3,2012,2012-07-02,VI,H,,CA,75,2,,2,n
DR03-4-3,2010,2010-07-14,H,H,10:18:00 PM,CA,80,2,LI,2,y
HH01-4-2,2010,2010-08-01,H,H,10:40:00 PM,CA,80,2,LI,1,y
85-C-06-2,2012,2012-06-24,VI,H,,CA,100,2,,2,y
85-C-06-2,2012,2012-06-24,VI,H,,CA,100,2,,1,y
85-C-06-2,2012,2012-06-24,H,H,,CA,100,2,,1,y
AE-C-09-2,2012,2012-06-30,VI,H,,CA,100,2,,1,n
AE-C-10-2,2012,2012-06-30,VI,H,,CA,100,2,,2,n
DR03-1-1,2010,2010-06-02,H,H,11:40:00 PM,CA,100,2,LI,1,y
HH01-2-2,2010,2010-06-11,H,H,11:26:00 PM,CA,100,2,LI,1,y
HH01-4-1,2010,2010-05-31,H,H,10:18:00 PM,CA,100,2,TE,1,y
HH01-4-2,2010,2010-08-01,H,H,10:36:00 PM,CA,150,3,TE,1,y
AE-C-07-3,2012,2012-07-02,H,H,,CA,200,3,,1,n
AE-C-09-2,2012,2012-06-30,VI,H,,CA,200,3,,1,n
AE-C-10-2,2012,2012-06-30,VI,H,,CA,200,3,,1,n
AE-C-11-2,2012,2012-06-30,H,H,,CA,200,3,,1,y
AE-C-11-3,2012,2012-07-02,H,H,,CA,200,3,,1,n
DR01-14-1,2010,2010-06-02,H,H,10:05:00 PM,CA,200,3,TE,1,y
DR03-1-2,2010,2010-06-21,H,H,11:23:00 PM,CA,200,3,LI,2,y
DR03-1-2,2010,2010-06-21,H,H,11:25:00 PM,CA,200,3,LI,1,y
DR03-2-2,2010,2010-06-21,H,H,11:16:00 PM,CA,200,3,LI,1,y
AE-C-09-3,2012,2012-07-02,VI,H,,CA,250,3,,2,n
AE-C-09-3,2012,2012-07-02,VI,H,,CA,250,3,,1,n
AE-C-10-3,2012,2012-07-02,H,H,,CA,250,3,,1,n
DR01-8-2,2010,2010-06-20,H,H,12:06:00 AM,CA,250,3,LI,1,y
AE-C-04-2,2012,2012-06-30,H,H,,CA,300,3,,1,n
AE-C-09-3,2012,2012-07-02,H,H,,CA,300,3,,1,n
CH01-3-3,2010,2010-07-11,H,H,10:51:00 PM,CA,300,3,LI,1,y
DR03-4-2,2010,2010-06-21,H,H,11:05:00 PM,CA,300,3,LI,1,y
85-C-05-2,2012,2012-06-24,H,H,,CA,350,3,,1,y
AE-C-02-2,2012,2012-06-30,H,H,,CA,400,3,,1,n
AE-C-04-3,2012,2012-07-02,H,H,,CA,400,3,,1,n
AE-C-12-2,2012,2012-06-30,VI,H,,,400,3,,1,y
DR03-3-2,2010,2010-06-21,H,H,11:13:00 PM,CA,400,3,LI,1,y
TR01s-3-2,2010,2010-06-22,H,H,11:28:00 PM,CA,400,3,LI,1,y
AE-C-06-3,2012,2012-07-02,H,,,CA,500,3,,1,y
AE-C-08-2,2012,2012-06-30,VI,,,CA,500,3,,1,n
DR01-9-2,2010,2010-06-20,H,,11:58:00 PM,CA,500,3,LI,1,y
HH02-2-2,2010,2010-06-28,H,,10:15:00 PM,CA,500,3,LI,2,y
TR01s-4-2,2010,2010-06-22,H,,11:45:00 PM,CA,500,3,LI,1,y
TR01s-5-2,2010,2010-06-22,H,,12:00:00 AM,CA,500,3,LI,1,y
AE-C-05-3,2012,2012-07-02,H,,,CA,550,3,,1,y
CONI19-017-1,2019,2019-06-18,H,,,,,3,,1,n
CONI19-017-1,2019,2019-06-18,H,,,,,3,,1,n
CONI19-017-1,2019,2019-06-18,H,,,,,3,,1,n
CONI19-012-1,2019,2019-06-18,H,,,,,2,,1,n
CONI-033-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-035-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-036-1,2018,2018-06-01,H,,,,,2,,1,n
CONI-038-1,2018,2018-06-01,H,,,,,2,,1,n
CONI-040-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-041-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-041-1,2018,2018-06-01,H,,,,,2,,1,n
CONI-047-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-051-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-041-1,2018,2018-06-01,H,,,,,3,,1,n
CONI-041-1,2018,2018-06-01,H,,,,,3,,1,n
