StationID,UTM_Z,UTM_E,UTM_N,Year,Habitat,Survey Date,SurveyTime,Method,Count
CONI-033,10,609589,6237884,2018,.,2018-06-01,21:45:00,PC,1
CONI-034,10,609569,6237086,2018,.,2018-06-01,22:00:00,PC,0
CONI-035,10,609118,6238297,2018,.,2018-06-01,22:18:00,PC,1
CONI-036,10,608934,6237846,2018,.,2018-06-01,23:11:00,PC,1
CONI-038,10,608220,6237434,2018,.,2018-06-01,22:48:00,PC,1
CONI-040,10,608083,6237844,2018,.,2018-06-01,23:29:00,PC,1
CONI-041,10,609097,6237429,2018,.,2018-06-01,22:28:00,PC,3
CONI-043,10,607400,6235815,2018,.,2018-06-01,0:26:00,PC,0
CONI-046,10,607362,6236506,2018,.,2018-06-01,22:50:00,PC,0
CONI-047,10,607335,6237423,2018,.,2018-06-01,23:46:00,PC,1
CONI-049,10,606800,6235200,2018,.,2018-06-01,0:13:00,PC,0
CONI-051,10,606765,6235591,2018,.,2018-06-01,23:12:00,PC,2
CONI-052,10,605871,6234986,2018,.,2018-06-01,23:37:00,PC,0
CONI-012,10,620031,6233296,2019,.,2019-06-18,22:17:00,PC,1
CONI-013,10,619348,6233314,2019,.,2019-06-18,20:42:00,PC,0
CONI-016,10,617248,6233564,2019,.,2019-06-18,21:46:00,PC,0
CONI-017,10,616276,6233920,2019,.,2019-06-18,21:26:00,PC,3
CONI-113,10,578568,6220384,2019,.,2019-06-08,22:23:00,PC,0
CONI-118,10,577804,6221194,2019,.,2019-06-09,22:32:00,PC,0
CONI-119,10,577396,6220467,2019,.,2019-06-09,22:30:00,PC,0
CONI-126,10,576163,6219912,2019,.,2019-06-09,23:00:00,PC,0
CONI-128,10,575727,6220249,2019,.,2019-06-09,23:15:00,PC,0
CONI-136,10,573890,6218301,2019,.,2019-06-08,22:00:00,PC,0
CONI-138,10,573855,6217847,2019,.,2019-06-09,21:55:00,PC,0
CONI-142,10,573353,6217458,2019,.,2019-06-09,22:00:00,PC,0
CONI-145,10,572879,6214668,2019,.,2019-06-09,21:20:00,PC,0
CONI-148,10,572071,6214334,2019,.,2019-06-09,21:21:00,PC,0
CONI-205,10,563873,6204870,2019,.,2019-06-08,21:22:00,PC,0
CONI-208,10,563578,6211435,2019,.,2019-06-09,21:45:00,PC,0
CONI-209,10,563549,6213236,2019,.,2019-06-09,22:14:00,PC,0
CONI-211,10,563127,6212151,2019,.,2019-06-09,21:22:00,PC,0
CONI-214,10,562602,6213628,2019,.,2019-06-09,0:00:00,PC,0
CONI-033,10,609589,6237884,2018,.,2018-06-01,21:45:00,ARU,2
CONI-034,10,609569,6237086,2018,.,2018-06-01,22:00:00,ARU,1
CONI-035,10,609118,6238297,2018,.,2018-06-01,22:18:00,ARU,2
CONI-036,10,608934,6237846,2018,.,2018-06-01,23:11:00,ARU,1
CONI-038,10,608220,6237434,2018,.,2018-06-01,22:48:00,ARU,2
CONI-040,10,608083,6237844,2018,.,2018-06-01,23:29:00,ARU,1
CONI-041,10,609097,6237429,2018,.,2018-06-01,22:28:00,ARU,2
CONI-043,10,607400,6235815,2018,.,2018-06-01,0:26:00,ARU,0
CONI-046,10,607362,6236506,2018,.,2018-06-01,22:50:00,ARU,0
CONI-047,10,607335,6237423,2018,.,2018-06-01,23:46:00,ARU,1
CONI-049,10,606800,6235200,2018,.,2018-06-01,0:13:00,ARU,0
CONI-051,10,606765,6235591,2018,.,2018-06-01,23:12:00,ARU,1
CONI-052,10,605871,6234986,2018,.,2018-06-01,23:37:00,ARU,0
CONI-012,10,620031,6233296,2019,.,2019-06-18,22:17:00,ARU,0
CONI-013,10,619348,6233314,2019,.,2019-06-18,20:42:00,ARU,0
CONI-016,10,617248,6233564,2019,.,2019-06-18,21:46:00,ARU,0
CONI-017,10,616276,6233920,2019,.,2019-06-18,21:26:00,ARU,1
CONI-113,10,578568,6220384,2019,.,2019-06-08,22:23:00,ARU,0
CONI-118,10,577804,6221194,2019,.,2019-06-09,22:32:00,ARU,0
CONI-119,10,577396,6220467,2019,.,2019-06-09,22:30:00,ARU,0
CONI-126,10,576163,6219912,2019,.,2019-06-09,23:00:00,ARU,0
CONI-128,10,575727,6220249,2019,.,2019-06-09,23:15:00,ARU,0
CONI-136,10,573890,6218301,2019,.,2019-06-08,22:00:00,ARU,0
CONI-138,10,573855,6217847,2019,.,2019-06-09,21:55:00,ARU,0
CONI-142,10,573353,6217458,2019,.,2019-06-09,22:00:00,ARU,0
CONI-145,10,572879,6214668,2019,.,2019-06-09,21:20:00,ARU,0
CONI-148,10,572071,6214334,2019,.,2019-06-09,21:21:00,ARU,0
CONI-205,10,563873,6204870,2019,.,2019-06-08,21:22:00,ARU,0
CONI-208,10,563578,6211435,2019,.,2019-06-09,21:45:00,ARU,0
CONI-209,10,563549,6213236,2019,.,2019-06-09,22:14:00,ARU,0
CONI-211,10,563127,6212151,2019,.,2019-06-09,21:22:00,ARU,0
CONI-214,10,562602,6213628,2019,.,2019-06-09,0:00:00,ARU,0
