FID,Shape *,OBJECTID_1,OBJECTID,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,SOURCE,MAP_SRC,ECO_SEC,BECUNIT,SDEC_1,DEC1,SDEC_2,DEC2,SDEC_3,DEC3,BHC20_1,BHC20_2,BHC20_3,BHC33_1,BHC33_2,BHC33_3,SDEC1_AREA,SDEC2_AREA,SDEC3_AREA,Area_m
0,Polygon,1245,4332,0,0,0,4332, ,PEM,PEM,PEL,BWBSmw1,10,SC:ab5,0, ,0, ,DYF, , ,DYF-At, , ,511.66842,0,0,85161.50971
1,Polygon,1611,2926,0,0,0,2926, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,14736.71557,0,0,41.533425
2,Polygon,1617,2932,0,0,0,2932, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,385.49276,0,0,4683.388176
3,Polygon,1618,2933,0,0,0,2933, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,28229.71712,0,0,37041.51236
4,Polygon,1621,2936,0,0,0,2936, ,PEM,PEM,PEL,BWBSmw1,10,AM:ap7,0, ,0, ,DMF, , ,DMF-At, , ,86.52615,0,0,175841.2511
5,Polygon,2376,17797,55159,0,7381638,17797, , ,VRI,PEL,BWBSmw1,10,BT3,0, ,0, ,FBS, , ,FBS-Sb, , ,87157.63354,0,0,171.211017
6,Polygon,2871,4847,0,0,0,4847, ,PEM,PEM,PEL,BWBSmw1,10,SH7,0, ,0, ,CMF, , ,CMF-Sw, , ,7753.68148,0,0,704687.2297
7,Polygon,324,1243,0,0,0,1243, ,PEM,PEM,PEL,BWBSmw1,10,RZ,0, ,0, ,ANT, , ,ANT, , ,1584.86895,0,0,22491.69965
8,Polygon,326,1245,0,0,0,1245, ,PEM,PEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,212.46345,0,0,319816.7948
9,Polygon,332,1251,0,0,0,1251, ,PEM,PEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,691.32354,0,0,66675.9839
10,Polygon,343,1268,0,0,0,1268, ,PEM,PEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,358.39496,0,0,26683.51742
11,Polygon,3505,11772,692,641,0,11772,94A1_229,G,TEM,PEL,BWBSmw1,10,SW5,0, ,0, ,CYF, , ,CYF-Sw, , ,6468.72846,0,0,40.814119
12,Polygon,3509,11789,619,663,0,11789,94A1_218,P,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,1882.11448,0,0,416.195328
13,Polygon,3521,11828,6123,677,0,11828,94A1_28,V,TEM,PEL,BWBSmw1,10,AM3,0, ,0, ,CSH, , ,CSH-Sw, , ,139974.44,0,0,387.91995
14,Polygon,3522,11834,6129,683,0,11834,94A1_212,P,TEM,PEL,BWBSmw1,5,AM:ap4,5,SC:4,0, ,DYF, , ,DYF-At, , ,997.8729,997.8729,0,2.308531
15,Polygon,3443,8753,373,5753,0,8753,94A1_4814,P,TEM,PEL,BWBSmw1,10,AM:ap6,0, ,0, ,DMF, , ,DMF-At, , ,17215.667,0,0,166.400474
16,Polygon,3477,11528,5828,5773,0,11528,94A1_339,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,63446.33958,0,0,697.332346
17,Polygon,3478,11569,5874,5819,0,11569,94A1_323,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,72.988,0,0,496.714406
