OBJECTID_12_13,FID_Footprint_20200701,OBJECTID,PAZ,Shape_Leng,Area_ha,FID_CEM_Oct10_13,OBJECTID_1,OBJECTID_12,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,FCODE,JOIN_ID,MAPSH_NBR,POLY_NBR,SOURCE,MAP_SRC,ECO_SEC,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,SDEC_1,SITE_S1,SITEMC_S1,SITE_M1A,SITE_M1B,STRCT_S1,STRCT_M1,SERAL_1,SDEC_2,SITE_S2,SITEMC_S2,SITE_M2A,SITE_M2B,STRCT_S2,STRCT_M2,SERAL_2,SDEC_3,SITE_S3,SITEMC_S3,SITE_M3A,SITE_M3B,STRCT_S3,STRCT_M3,SERAL_3,AREA,PERIMETER,HECTARES,Shape_Leng_1,SDEC1_Area,SDEC2_Area,SDEC3_Area,HabType_1,HabType_2,HabType_3,PUMP_Strat,MCECA_W,MALAM_W,MODHE_W,MODVI_W,FOREST_TYP,FOREST_T_1,FOREST_T_2,AGE_TYPE1,AGE_TYPE2,AGE_TYPE3,Dens_SAV,MAPE_CT_De,Shape_Le_1,Tot_Dens_S,Tot_Densit,Resting,Vert_Div,Shape_Le_2,Wetland,Grassland,Area_ha_1,Shape_Length,Shape_Area
1,0,1,Dam,42514.256556899999850,2035.160690830000021,45174,45152,25986,39281,0.000000000000000,3246263.000000000000000,25986, , ,314,94A16,0, ,VRI,PEL,BWBS,mw,1, ,10,1,AM, , ,5, ,ap,0, , , , , , , ,0, , , , , , , ,417.867999999999995,3734.690000000000055,41.700000000000003,3734.692923000000064,417.911800000000028,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic B,0.170568994880000,0.276676012039000,0.091113398790400,0.049729001089900,DZ, , ,YF, , ,1.611900000000000,0.333300000000000,2862.856456749999779,46.737736584300002,9.664177432570000,0.000762845043206,0.711000000000000,2862.856435830000009,No,No,28.995431685100002,432.393076886099209,5678.321466578765467
2,0,1,Dam,42514.256556899999850,2035.160690830000021,45366,45352,26369,39234,0.000000000000000,324611.000000000000000,26369, , ,319,94A16,0, ,VRI,PEL,BWBS,mw,1, ,10,1,AM, , ,5, ,ap,0, , , , , , , ,0, , , , , , , ,3293.836999999999989,3852.213000000000193,32.930000000000000,3852.213834879999922,3293.784140000000207,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic B,0.170568994880000,0.276676012039000,0.091113398790400,0.049729001089900,DZ, , ,YF, , ,1.611900000000000,0.333300000000000,2843.046957160000147,30.319928321900001,6.269391469490000,0.000762845043206,0.711000000000000,2843.048412199999802,No,No,18.810052930000001,1934.456522580371484,28464.440606739113719
3,0,1,Dam,42514.256556899999850,2035.160690830000021,45423,45409,26500,39235,0.000000000000000,3246283.000000000000000,26500, , ,112,94A16,0, ,VRI,PEL,BWBS,mw,1, ,10,1,AM,k, ,5, ,ap,0, , , , , , , ,0, , , , , , , ,25143.251000000000204,4393.234999999999673,25.140000000000001,4393.234441139999944,25143.234799999998359,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic B,0.206499993801000,0.320860013962000,0.096242298722300,0.062440001368500,DZ, , ,YF, , ,1.611900000000000,0.333300000000000,66.148321206000006,0.009084055650610,0.001878352098980,0.000762845043206,0.711000000000000,66.148831920500001,No,No,0.005634944352230,66.148762767276921,56.349081065046711
4,0,1,Dam,42514.256556899999850,2035.160690830000021,45439,45425,26541,39244,0.000000000000000,3246295.000000000000000,26541, , ,248,94A16,0, ,VRI,PEL,BWBS,mw,1, ,10,3,SW, , ,5, ,as,0, , , , , , , ,0, , , , , , , ,18386.270000000000437,1928.390000000000100,1.839000000000000,1928.389699999999948,18386.184000000001106,0.000000000000000,0.000000000000000,Upland Forest, , ,Dry,0.235740402639000,0.367148007274000,0.178179992080000,0.035679999202500,DD, , ,YF, , ,3.720500000000000,0.333300000000000,1301.697252769999977,20.227967757700000,1.812117095460000,0.000705218258146,0.677300000000000,1301.697083730000031,No,No,5.436894317570000,1123.019455148387578,47831.459934642633016
5,0,1,Dam,42514.256556899999850,2035.160690830000021,45517,45511,26801,35887,0.000000000000000,324591.000000000000000,26801, , ,25,94A16,0, ,VRI,PEL,BWBS,mw,1, ,10,1,AM, , ,5, ,ap,0, , , , , , , ,0, , , , , , , ,222328.730000000010477,2779.594000000000051,22.233000000000001,2779.594273000000157,222328.711398000014015,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic B,0.170568994880000,0.276676012039000,0.091113398790400,0.049729001089900,DZ, , ,YF, , ,1.611900000000000,0.333300000000000,2779.594922490000044,35.837175000400002,7.410218020750000,0.000762845043206,0.711000000000000,2779.595280059999823,No,No,22.232871472300001,741.686750934014526,9636.994791343056932
6,0,1,Dam,42514.256556899999850,2035.160690830000021,64371,66053,1225,0,0.000000000000000,0.000000000000000,81193,094A026_3518,WI25200100, ,094A026,3518,P,TEM,PEL,BWBS,mw,1, ,10,1,AM,h,w,4, ,ap,0, , , , , , , ,0, , , , , , , ,78504.898437500000000,1391.150146480000103,0.000000000000000,0.000000000000000,78473.779096800004481,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic B,0.283317991495000,0.321386013985000,0.173175797701000,0.016502000361700,DZ, , ,YF, , ,0.000000000000000,0.333300000000000,1390.790437910000037,0.000000000000000,2.615532418950000,0.000762845043206,0.711000000000000,1390.790437910000037,No,No,7.847381995060000,1229.224885577943951,45568.764064507478906
7,0,1,Dam,42514.256556899999850,2035.160690830000021,64400,66838,2492,0,0.000000000000000,0.000000000000000,82469,094A016_3127,WI25200100, ,094A016,3127,P,TEM,PEL,BWBS,mw,1, ,10,1,AM,h, ,3, ,ap,0, , , , , , , ,0, , , , , , , ,167442.078125000000000,1987.537109379999947,0.000000000000000,0.000000000000000,167376.451460999989649,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic Open,0.195307701319000,0.260895995736000,0.119894004464000,0.057088002711500,DZ, , ,NV, , ,0.000000000000000,0.000000000000000,1986.836993610000036,0.000000000000000,0.000000000000000,0.000584425148498,0.596700000000000,1986.836993610000036,No,No,16.737642742300000,108.655210450540991,659.388498393426062
8,0,1,Dam,42514.256556899999850,2035.160690830000021,65180,65140,26163,39228,0.000000000000000,6497931.000000000000000,26163, , ,31,94A16,0, ,VRI,PEL,BWBS,mw,1, ,10,0,UR, , , , , ,0, , , , , , , ,0, , , , , , , ,359422.597000000008848,1398.210000000000036,35.942000000000000,1398.215590000000020,359422.521799999987707,0.000000000000000,0.000000000000000,Non Vegetated/Anthropogenic, , ,Anthro,0.176681399882000,0.056808001473500,0.070063997983900,0.007358999960120,NF, , , , , ,0.000000000000000,0.000000000000000,5906.502021410000452,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5906.501413979999597,No,No,13.366883958100001,519.361677372770487,3886.925043679347709
9,0,1,Dam,42514.256556899999850,2035.160690830000021,65213,65173,138,0,0.000000000000000,0.000000000000000,80109,094A026_30126,WI25200100, ,094A026,30126,P,TEM,PEL,BWBS,mw,1, ,10,1,AM, , ,5, ,ap,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,334778.381310000026133,0.000000000000000,0.000000000000000,Upland Forest, , ,Mesic B,0.170568994880000,0.276676012039000,0.091113398790400,0.049729001089900,DZ, , ,YF, , ,1.611900000000000,0.333300000000000,4637.385379139999714,53.962935446000003,11.158165136899999,0.000762845043206,0.711000000000000,4637.385379149999608,No,No,33.477843194999998,4642.003646442636636,334655.613062717078719
10,0,1,Dam,42514.256556899999850,2035.160690830000021,65255,65215,133,0,0.000000000000000,0.000000000000000,80161,094A026_30122,WI25200100, ,094A026,30122,P,TEM,PEL,BWBS,mw,1, ,8,0,ES, , ,1, , ,2,1,AM,c, ,3, ,ap,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,219292.466805000003660,54823.116701300001296,0.000000000000000,Non Vegetated/Anthropogenic,Upland Forest, ,Anthro,0.176681399882000,0.056808001473500,0.070063997983900,0.007358999960120,NF,DZ, ,NV,NV, ,0.000000000000000,0.000000000000000,2729.496717240000180,0.000000000000000,0.000000000000000,0.000145367523416,0.000000000000000,2729.496717240000180,No,No,27.411561818100001,1433.958491168162709,15071.989689773798091
