Sort,BEC Variant,Ecosystem,Site Series,Site Series Name,Type,Dam,Reservoir,TL,Hwy 29,Road,Quarry,Erosion Impact
1,BWBSmw1,AM,01,SwAt - Step moss,Forested Ecosystem,93.10781095442333,314.84655721586813,19.148771794328127,6.31560925676032,2.962410632339365,46.61927776985446,130.71550569546383
2,BWBSmw1,LL,02,Pl - Lingonberry - Velvet-leaved blueberry,Forested Ecosystem,NA,23.91324805311197,12.029045356404556,6.3013788592646645,0.08478213317780117,3.285603365612457,3.839858740204112
3,BWBSmw1,SW,03,Sw - Wildrye – Peavine,Forested Ecosystem,15.353667734827757,134.97729248654238,20.2287079153407,23.172471281966125,2.304449827739078,35.17976713197855,106.89058903864785
4,BWBSmw1,BL,04,Sb - Lingonberry - Coltsfoot,Forested Ecosystem,2.876043949555914,0.7426281153131712,30.2701440890278,0.003964007580179775,1.2031267496226903,0.8080235961059322,5.732926698163783
5,BWBSmw1,SO,05,Sw - Currant - Oak fern,Forested Ecosystem,22.261031399447464,316.1641178895343,1.7172002313300496,1.6416758156716986,3.807678976886126,0.8010780916423513,95.12806362576603
6,BWBSmw1,SC,06,Sw - Currant – Bluebells,Forested Ecosystem,3.619102664095763,102.9917219753592,NA,3.7015986690706044,2.2783903964327887,6.83056258008272,4.962869550239969
7,BWBSmw1,SH,07,Sw - Currant – Horsetail,Forested Ecosystem,31.98773761150042,703.0412435150166,3.473907917711465,1.1263027556786158,0.9828229993224398,0.1682657896548141,12.61597110368971
8,BWBSmw1,Fm02,09,ActSw - Red-osier dogwood,Forested Ecosystem,82.8967951386731,1032.9014662689879,NA,9.079778483850045,NA,NA,9.146980177959612
11,BWBSmw1,AM:ap,$01,$At - Creamy peavine,Forested Ecosystem,1036.2801382852049,871.0933208095471,268.67450946005295,76.44227045418295,15.580797740370592,142.13064520527766,270.5749625287049
12,BWBSmw1,LL:ak,$02,$At - Kinnikinnick,Forested Ecosystem,3.0378007892497956,62.45748357141543,5.7848939964935315,NA,0.6186585671742403,13.04146335033861,8.105903706502884
13,BWBSmw1,SW:as,$03,$At - Soopolallie,Forested Ecosystem,122.76709492839464,108.57854141652328,27.118529569090615,12.709379797495373,6.273167498356669,5.012080414324751,88.99094470306349
14,BWBSmw1,BL:al,$04,$At - Labrador tea,Forested Ecosystem,37.104735032242694,8.470593932705057,59.03293814644134,0.6253905134520482,NA,0.3523529927942255,1.7500085957552143
15,BWBSmw1,SC:ab,$05,$At – Black Twinberry,Forested Ecosystem,5.099694543711514,54.970215757368656,5.8085817912703694,NA,1.0946549655132105,NA,63.091853436734674
16,BWBSmw1,SC:ep,$05,$Ep – red-osier dogwood,Forested Ecosystem,6.032247211177877,41.066431068081634,0.4274254801821375,0.2634217722458095,NA,NA,22.00770544582745
