ID,Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
1,Aix sponsa,,Wood Duck,,B-WODU,ABNJB09010,G5,2016-4-6 0:00:00,S4B,S4N,2015-3-5 0:00:00,1997-6-16 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Swamp;Marsh;Riparian Forest;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Deciduous/Broadleaf Forest;Conifer Forest - Mesic (average);Conifer Forest - Moist/wet;Mixed Forest (deciduous/coniferous mix);Pond/Open Water,Native,Regularly occurring,Y,,N,N,
2,Anas acuta,,Northern Pintail,,B-NOPI,ABNJB10110,G5,2016-4-6 0:00:00,S4B,S5N,2015-3-5 0:00:00,2009-1-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Marsh;Riparian Shrub;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Meadow;Grassland;Sagebrush Steppe;Pond/Open Water;Riparian Herbaceous;Antelope-brush Steppe;Alpine Grassland;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
3,Anas crecca,,Green-winged Teal,,B-GWTE,ABNJB10010,G5,2016-4-6 0:00:00,S5B,S5N,2015-3-5 0:00:00,1997-6-16 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Riparian Herbaceous;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
4,Anas platyrhynchos,,Mallard,,B-MALL,ABNJB10060,G5,2016-4-6 0:00:00,S5B,S5N,2015-3-5 0:00:00,1997-6-16 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Subtidal Marine;Urban/Suburban;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
5,Anas rubripes,,American Black Duck,,B-ABDU,ABNJB10040,G5,2016-4-6 0:00:00,SNA,2015-3-5 0:00:00,,,,Exotic,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Exotic,Regularly occurring,N,,N,N,
6,Anser albifrons,,Greater White-fronted Goose,,B-GWFG,ABNJB03040,G5,2016-4-6 0:00:00,S4M,2015-3-5 0:00:00,2009-1-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Urban/Suburban,Native,Regularly occurring,N,,N,N,
7,Anser caerulescens,Chen caerulescens,Snow Goose,,B-SNGO,ABNJB04010,G5,2016-4-7 0:00:00,S4M,2015-3-5 0:00:00,2005-11-29 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,CDF,Estuary;Bog;Fen;Swamp;Marsh;Pasture/Old Field;Cultivated Field;Hedgerow,Native,Regularly occurring,N,,N,N,We have, in the past mapped large concentrations of Snow Geese where they occur regularly on migration. The high numbers do not warrant tracking at present.
8,Anser canagicus,Chen canagica,Emperor Goose,,B-EMGO,ABNJB04030,G3G4,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
9,Anser rossii,Chen rossii,Ross's Goose,,B-ROGO,ABNJB04020,G4,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
10,Aythya affinis,,Lesser Scaup,,B-LESC,ABNJB11070,G5,2016-4-6 0:00:00,S5B,S5N,2015-3-5 0:00:00,2015-4-20 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DAB;DCC;DCH;DCO;DCS;DFN;DHW;DJA;DKA;DKL;DMH;DMK;DND;DOS;DPC;DPG;DQU;DRM;DSS_B;DSS_C;DVA,3;4;5;6;7;8;9,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;NRRD;OSRD,,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS;SWB,Estuary;Bog;Fen;Swamp;Marsh;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Subtidal Marine;Pond/Open Water;Mudflats - Intertidal;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
