Phylo_Sort,Order,IsSongbird,Species Code,English Name
81,Charadriiformes,,B-AGPL,American Golden-Plover
177,Passeriformes,Y,B-ALFL,Alder Flycatcher
83,Charadriiformes,,B-AMAV,American Avocet
54,Pelecaniformes,,B-AMBI,American Bittern
75,Gruiformes,,B-AMCO,American Coot
198,Passeriformes,Y,B-AMCR,American Crow
249,Passeriformes,Y,B-AMDI,American Dipper
262,Passeriformes,Y,B-AMGO,American Goldfinch
174,Falconiformes,,B-AMKE,American Kestrel
250,Passeriformes,Y,B-AMPI,American Pipit
282,Passeriformes,Y,B-AMRE,American Redstart
248,Passeriformes,Y,B-AMRO,American Robin
14,Anseriformes,,B-AMWI,American Wigeon
149,Apodiformes,Y,B-ANHU,Anna's Hummingbird
117,Charadriiformes,,B-ANMU,Ancient Murrelet
109,Charadriiformes,,B-ARTE,Arctic Tern
315,Passeriformes,Y,B-ATSP,American Tree Sparrow
159,Piciformes,,B-ATTW,American Three-toed Woodpecker
50,Pelecaniformes,,B-AWPE,American White Pelican
73,Accipitriformes,,B-BAEA,Bald Eagle
28,Anseriformes,,B-BAGO,Barrow's Goldeneye
292,Passeriformes,Y,B-BAOR,Baltimore Oriole
86,Charadriiformes,,B-BASA,Baird's Sandpiper
216,Passeriformes,Y,B-BASW,Barn Swallow
269,Passeriformes,Y,B-BAWW,Black-and-white Warbler
276,Passeriformes,Y,B-BAYW,Bay-breasted Warbler
206,Passeriformes,Y,B-BBMA,Black-billed Magpie
158,Piciformes,,B-BBWO,Black-backed Woodpecker
209,Passeriformes,Y,B-BCCH,Black-capped Chickadee
147,Apodiformes,Y,B-BCHU,Black-chinned Hummingbird
56,Pelecaniformes,,B-BCNH,Black-crowned Night-heron
140,Strigiformes,,B-BDOW,Barred Owl
152,Coraciiformes,Y,B-BEKI,Belted Kingfisher
232,Passeriformes,Y,B-BEWR,Bewick's Wren
293,Passeriformes,Y,B-BHCO,Brown-headed Cowbird
323,Passeriformes,Y,B-BHGR,Black-headed Grosbeak
196,Passeriformes,Y,B-BHVI,Blue-headed Vireo
283,Passeriformes,Y,B-BKPW,Blackpoll Warbler
219,Passeriformes,Y,B-BKSW,Bank Swallow
201,Passeriformes,Y,B-BLJA,Blue Jay
107,Charadriiformes,,B-BLKI,Black-legged Kittiwake
82,Charadriiformes,,B-BLOY,Black Oystercatcher
146,Apodiformes,Y,B-BLSW,Black Swift
99,Charadriiformes,,B-BLTE,Black Tern
124,Strigiformes,,B-BNOW,Barn Owl
288,Passeriformes,Y,B-BOBO,Bobolink
211,Passeriformes,Y,B-BOCH,Boreal Chickadee
100,Charadriiformes,,B-BOGU,Bonaparte's Gull
127,Strigiformes,,B-BOOW,Boreal Owl
208,Passeriformes,Y,B-BOWA,Bohemian Waxwing
290,Passeriformes,Y,B-BRBL,Brewer's Blackbird
60,Suliformes,,B-BRCO,Brandt's Cormorant
236,Passeriformes,Y,B-BRCR,Brown Creeper
311,Passeriformes,Y,B-BRSP,Brewer's Sparrow
312,Passeriformes,Y,B-BRSP-BR,Brewer's Sparrow, breweri subspecies
279,Passeriformes,Y,B-BTGW,Black-throated Gray Warbler
286,Passeriformes,Y,B-BTNW,Black-throated Green Warbler
121,Columbiformes,Y,B-BTPI,Band-tailed Pigeon
26,Anseriformes,,B-BUFF,Bufflehead
291,Passeriformes,Y,B-BUOR,Bullock's Oriole
130,Strigiformes,,B-BUOW,Burrowing Owl
223,Passeriformes,Y,B-BUSH,Bushtit
69,Accipitriformes,,B-BWHA,Broad-winged Hawk
18,Anseriformes,,B-BWTE,Blue-winged Teal
116,Charadriiformes,,B-CAAU,Cassin's Auklet
253,Passeriformes,Y,B-CAFI,Cassin's Finch
25,Anseriformes,,B-CAGO,Canada Goose
103,Charadriiformes,,B-CAGU,California Gull
150,Apodiformes,Y,B-CAHU,Calliope Hummingbird
24,Anseriformes,,B-CANV,Canvasback
101,Charadriiformes,,B-CATE,Caspian Tern
191,Passeriformes,Y,B-CAVI,Cassin's Vireo
263,Passeriformes,Y,B-CAWA,Canada Warbler
226,Passeriformes,Y,B-CAWR,Canyon Wren
212,Passeriformes,Y,B-CBCH,Chestnut-backed Chickadee
313,Passeriformes,Y,B-CCSP,Clay-colored Sparrow
207,Passeriformes,Y,B-CEWA,Cedar Waxwing
314,Passeriformes,Y,B-CHSP,Chipping Sparrow
17,Anseriformes,,B-CITE,Cinnamon Teal
44,Podicipediformes,,B-CLGR,Clark's Grebe
204,Passeriformes,Y,B-CLNU,Clark's Nutcracker
217,Passeriformes,Y,B-CLSW,Cliff Swallow
284,Passeriformes,Y,B-CMWA,Cape May Warbler
183,Passeriformes,Y,B-COFL,Cordilleran Flycatcher
27,Anseriformes,,B-COGO,Common Goldeneye
294,Passeriformes,Y,B-COGR,Common Grackle
63,Accipitriformes,,B-COHA,Cooper's Hawk
38,Gaviiformes,,B-COLO,Common Loon
35,Anseriformes,,B-COME,Common Merganser
118,Charadriiformes,,B-COMU,Common Murre
142,Caprimulgiformes,,B-CONI,Common Nighthawk
143,Caprimulgiformes,,B-COPO,Common Poorwill
200,Passeriformes,Y,B-CORA,Common Raven
251,Passeriformes,Y,B-CORE,Common Redpoll
270,Passeriformes,Y,B-COWA,Connecticut Warbler
267,Passeriformes,Y,B-COYE,Common Yellowthroat
57,Suliformes,,B-DCCO,Double-crested Cormorant
302,Passeriformes,Y,B-DEJU,Dark-eyed Junco
160,Piciformes,,B-DOWO,Downy Woodpecker
182,Passeriformes,Y,B-DUFL,Dusky Flycatcher
4,Galliformes,,B-DUGR,Dusky Grouse
48,Podicipediformes,,B-EAGR,Eared Grebe
188,Passeriformes,Y,B-EAKI,Eastern Kingbird
186,Passeriformes,Y,B-EAPH,Eastern Phoebe
252,Passeriformes,Y,B-EVGR,Evening Grosbeak
70,Accipitriformes,,B-FEHA,Ferruginous Hawk
137,Strigiformes,,B-FLOW,Flammulated Owl
307,Passeriformes,Y,B-FOSP,Fox Sparrow
108,Charadriiformes,,B-FOTE,Forster's Tern
42,Procellariiformes,,B-FTSP,Fork-tailed Storm-petrel
20,Anseriformes,,B-GADW,Gadwall
51,Pelecaniformes,,B-GBHE,Great Blue Heron
52,Pelecaniformes,,B-GBHE-FA,Great Blue Heron, fannini subspecies
53,Pelecaniformes,,B-GBHE-HE,Great Blue Heron, herodias subspecies
225,Passeriformes,Y,B-GCKI,Golden-crowned Kinglet
256,Passeriformes,Y,B-GCRF,Gray-crowned Rosy Finch
317,Passeriformes,Y,B-GCSP,Golden-crowned Sparrow
241,Passeriformes,Y,B-GCTH,Gray-cheeked Thrush
138,Strigiformes,,B-GGOW,Great Gray Owl
131,Strigiformes,,B-GHOW,Great Horned Owl
67,Accipitriformes,,B-GOEA,Golden Eagle
237,Passeriformes,Y,B-GRCA,Gray Catbird
185,Passeriformes,Y,B-GRFL,Gray Flycatcher
55,Pelecaniformes,,B-GRHE,Green Heron
205,Passeriformes,Y,B-GRJA,Gray Jay
300,Passeriformes,Y,B-GRSP,Grasshopper Sparrow
96,Charadriiformes,,B-GRYE,Greater Yellowlegs
2,Galliformes,,B-GSGR,Greater Sage-Grouse
106,Charadriiformes,,B-GWGU,Glaucous-winged Gull
16,Anseriformes,,B-GWTE,Green-winged Teal
173,Falconiformes,,B-GYRF,Gyrfalcon
31,Anseriformes,,B-HADU,Harlequin Duck
180,Passeriformes,Y,B-HAFL,Hammond's Flycatcher
161,Piciformes,,B-HAWO,Hairy Woodpecker
162,Piciformes,,B-HAWO-PI,Hairy Woodpecker, picoideus subspecies
102,Charadriiformes,,B-HEGU,Herring Gull
240,Passeriformes,Y,B-HETH,Hermit Thrush
254,Passeriformes,Y,B-HOFI,House Finch
46,Podicipediformes,,B-HOGR,Horned Grebe
213,Passeriformes,Y,B-HOLA,Horned Lark
214,Passeriformes,Y,B-HOLA-ME,Horned Lark, merrilli subspecies
215,Passeriformes,Y,B-HOLA-ST,Horned Lark, strigata subspecies
32,Anseriformes,,B-HOME,Hooded Merganser
115,Charadriiformes,,B-HOPU,Horned Puffin
