StationID,UTM_Z,UTM_E,UTM_N,SurveyType,Year,Habitat,Detect Type,Time Period,update
CONI18-009,10,624506,6233168,ARU ,2018,,Wing Booms,2018/2019,
CONI18-010,10,623804,6232853,ARU ,2018,,Wing Booms,2018/2019,
CONI18-011,10,623359,6233148,ARU ,2018,,Wing Booms,2018/2019,
CONI18-012,10,622251,6232757,ARU ,2018,,Calls Only,2018/2019,
CONI18-013,10,621469,6232854,ARU ,2018,,Wing Booms,2018/2019,
CONI18-014,10,621091,6232656,ARU ,2018,,Wing Booms,2018/2019,
CONI18-015,10,620505,6232169,ARU ,2018,,Wing Booms,2018/2019,
CONI18-016,10,619464,6232492,ARU ,2018,,Wing Booms,2018/2019,
CONI18-017,10,619270,6231848,ARU ,2018,,Calls Only,2018/2019,
CONI18-018,10,618386,6232336,ARU ,2018,,Wing Booms,2018/2019,
CONI18-019,10,617578,6232428,ARU ,2018,,Wing Booms,2018/2019,
CONI18-020,10,617528,6232949,ARU ,2018,,Wing Booms,2018/2019,
CONI18-021,10,616882,6233111,ARU ,2018,,Wing Booms,2018/2019,
CONI18-022,10,616365,6233365,ARU ,2018,,Wing Booms,2018/2019,
CONI18-023,10,614657,6234104,ARU ,2018,,Not Detected,2018/2019,
CONI18-025,10,613730,6235615,ARU ,2018,,Wing Booms,2018/2019,
CONI18-026,10,613671,6235098,ARU ,2018,,Wing Booms,2018/2019,
CONI18-027,10,613322,6236196,ARU ,2018,,Wing Booms,2018/2019,
CONI18-028,10,612916,6236518,ARU ,2018,,Wing Booms,2018/2019,
CONI18-030,10,611970,6237162,ARU ,2018,,Not Detected,2018/2019,
CONI18-032,10,610775,6237610,ARU ,2018,,Not Detected,2018/2019,
CONI18-037,10,608756,6236632,ARU ,2018,,Wing Booms,2018/2019,
CONI18-039,10,608157,6235358,ARU ,2018,,Wing Booms,2018/2019,
CONI18-044,10,607552,6235214,ARU ,2018,,Wing Booms,2018/2019,
CONI18-045,10,607485,6234555,ARU ,2018,,Wing Booms,2018/2019,
CONI18-050,10,606573,6234119,ARU ,2018,,Wing Booms,2018/2019,
CONI18-053,10,606120,6234613,ARU ,2018,,Wing Booms,2018/2019,
CONI18-056,10,603851,6233681,ARU ,2018,,Wing Booms,2018/2019,
CONI18-057,10,603287,6233305,ARU ,2018,,Wing Booms,2018/2019,
CONI18-058,10,602521,6233858,ARU ,2018,,Wing Booms,2018/2019,
CONI18-059,10,601912,6233276,ARU ,2018,,Wing Booms,2018/2019,
CONI18-060,10,600111,6232908,ARU ,2018,,Wing Booms,2018/2019,
CONI18-061,10,599260,6232722,ARU ,2018,,Wing Booms,2018/2019,
CONI18-063,10,598463,6232735,ARU ,2018,,Calls Only,2018/2019,
CONI18-064,10,597683,6232112,ARU ,2018,,Calls Only,2018/2019,change
CONI18-065,10,597047,6231579,ARU ,2018,,Calls Only,2018/2019,change
CONI18-066,10,596738,6231137,ARU ,2018,,Wing Booms,2018/2019,
CONI18-067,10,596265,6230672,ARU ,2018,,Wing Booms,2018/2019,
CONI18-069,10,595587,6231547,ARU ,2018,,Calls Only,2018/2019,
CONI18-071,10,594541,6231795,ARU ,2018,,Wing Booms,2018/2019,
CONI18-074,10,593865,6232367,ARU ,2018,,Calls Only,2018/2019,
CONI18-076,10,593270,6233080,ARU ,2018,,Not Detected,2018/2019,
CONI18-077,10,592275,6234376,ARU ,2018,,Calls Only,2018/2019,
CONI18-078,10,591375,6233825,ARU ,2018,,Not Detected,2018/2019,
CONI18-079,10,591052,6234588,ARU ,2018,,Not Detected,2018/2019,
CONI18-080,10,590310,6234618,ARU ,2018,,Not Detected,2018/2019,
CONI18-033,10,609589,6237884,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-034,10,609569,6237086,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-035,10,609118,6238297,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-036,10,608934,6237846,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-038,10,608220,6237434,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-040,10,608083,6237844,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-041,10,609097,6237429,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-043,10,607400,6235815,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-046,10,607362,6236506,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-047,10,607335,6237423,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-049,10,606800,6235200,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-051,10,606765,6235591,ARU + Paired PC,2018,,Wing Booms,2018/2019,
CONI18-052,10,605871,6234986,ARU + Paired PC,2018,,Not Detected,2018/2019,
CONI19-001,10,641223,6224832,ARU ,2019,,Wing Booms,2018/2019,
CONI19-002,10,640904,6225366,ARU ,2019,,Wing Booms,2018/2019,
CONI19-003,10,640308,6226087,ARU ,2019,,Wing Booms,2018/2019,
CONI19-004,10,637063,6228349,ARU ,2019,,Not Detected,2018/2019,
CONI19-005,10,636570,6229433,ARU ,2019,,Not Detected,2018/2019,
CONI19-006,10,634317,6230055,ARU ,2019,,Wing Booms,2018/2019,
