ID,Sample Station Label,Visit .,Date,Obs Number,Species,Count 5 min,Count 0-3 min,Count 3-5 min,Count 5-10 min,Total Count 5 min,Count,Life Stage,Gender,Behaviour,Detect Type,Flyovers,Detection Distance (m),Distance Category,Direction,Observation Comments,Det_UTM_E,Det_UTM_N
1,PC06-A-04A,2,,2315,B-BOCH,3.00,,,,3.00,3.00,UC,UC,,CA,,,0-100,,,,
2,PC06-A-04A,2,,2316,B-GCKI,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
3,PC06-A-04A,2,,2317,B-WETA,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
4,PC06-A-04A,2,,2319,B-YRWA,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
5,PC06-A-04A,2,,2320,B-DEJU,1.00,,,,1.00,1.00,A,M,,CA,,,0-100,,,,
6,PC06-A-04A,2,,2321,B-SWTH,2.00,,,,2.00,2.00,A,M,,SO,,,0-100,,,,
7,PC06-A-04A,2,,2322,B-REVI,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
8,PC06-A-04A,2,,2323,B-WWCR,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
9,PC06-A-04A,2,,2324,B-GCKI,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
10,PC06-A-04A,2,,2325,B-YBSA,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
11,PC06-A-04A,2,,2326,B-PSFL,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
12,PC06-A-05A,2,,2327,B-OVEN,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
13,PC06-A-05A,2,,2328,B-REVI,2.00,,,,2.00,2.00,A,M,,SO,,,0-100,,,,
14,PC06-A-05A,2,,2329,B-YRWA,3.00,,,,3.00,3.00,A,M,,SO,,,0-100,,,,
15,PC06-A-05A,2,,2330,B-AMRE,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
16,PC06-A-05A,2,,2331,B-YEWA,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
17,PC06-A-05A,2,,2332,B-DEJU,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
18,PC06-A-05A,2,,2333,B-BCCH,1.00,,,,1.00,1.00,A,UC,,CA,,,0-100,,,,
19,PC06-A-05A,2,,2334,B-CAGO,1.00,,,,1.00,1.00,A,UC,,CA,,,0-100,,,,
20,PC06-A-1,2,,2280,B-BAWW,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
21,PC06-A-1,2,,2281,B-WTSP,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
22,PC06-A-1,2,,2282,B-REVI,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
23,PC06-A-1,2,,2283,B-CHSP,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
24,PC06-A-1,2,,2284,B-SWTH,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
25,PC06-A-1,2,,2285,B-BAEA,1.00,,,,1.00,1.00,A,UC,,CA,,,0-100,,,,
26,PC06-A-1,2,,2286,B-DEJU,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
27,PC06-A-1,2,,2287,B-AMCR,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
28,PC06-A-1,2,,2288,B-YRWA,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
29,PC06-A-1,2,,2289,B-MGNW,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
30,PC06-A-1,2,,2290,B-WETA,1.00,,,,1.00,1.00,A,M,,SO,,,0-100,,,,
