Survey Name,Footprint,Valley,Mitigation Property,ValleyUpstPine,ValleyUpstDam,Location Reference,Station,Sample Station Label,BBFM_ID,UTM Zone Sample Station,Easting Sample Station,Northing Sample Station,Longitude,Latitude,Sample Station Photos,Sample Station Comments
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,099,PC16-099,BBFM3206,10,621825,6232352,-121.0353246,56.22045109,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,100,PC16-100,BBFM1050,10,621341,6232351,-121.0431254,56.22056578,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,101,PC16-101,BBFM3258,10,620543,6232180,-121.0560642,56.21923313,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,102,PC16-102,BBFM1035,10,620408,6232155,-121.0582512,56.21904282,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,103,PC16-103,BBFM1039,10,620297,6232220,-121.0600106,56.21965456,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,104,PC16-104,BBFM3209,10,619872,6232162,-121.0668862,56.219241,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,105,PC16-105,BBFM1028,10,618947,6231965,-121.0818821,56.21770414,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,106,PC16-106,BBFM3215,10,618619,6231982,-121.0871605,56.21793866,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,107,PC16-107,BBFM3216,10,618279,6232375,-121.0924645,56.22155229,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,108,PC16-108,BBFM1054,10,618055,6232385,-121.0960704,56.22169772,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Upstream Boat,109,PC16-109,BBFM3217,10,617824,6232397,-121.0997882,56.22186273,,
Point Counts 2016,No,Yes,No,Yes,Yes,Upstream Boat,110,PC16-110,BBFM1117,10,614796,6233381,-121.148167,56.23143917,,
Point Counts 2016,No,Yes,No,Yes,Yes,Upstream Boat,111,PC16-111,BBFM1127,10,614548,6233560,-121.1520878,56.23310637,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,117,PC16-117,BBFM1133,10,616801,6233677,-121.1157123,56.23360904,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,118,PC16-118,BBFM1149,10,616296,6233911,-121.1237516,56.23583406,,
Point Counts 2016,No,Yes,No,Yes,Yes,Wilder Creek,119,PC16-119,BBFM1169,10,616061,6234137,-121.1274416,56.23792091,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,120,PC16-120,BBFM1187,10,615867,6234298,-121.1304993,56.23941397,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,121,PC16-121,BBFM1245,10,616001,6234780,-121.1281273,56.24370956,,
Point Counts 2016,No,Yes,No,Yes,Yes,Wilder Creek,122,PC16-122,BBFM1191,10,617217,6234328,-121.1087172,56.23935248,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,123,PC16-123,BBFM1205,10,617050,6234443,-121.1113593,56.24042628,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,124,PC16-124,BBFM1215,10,616914,6234542,-121.1135086,56.24134874,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,125,PC16-125,BBFM1223,10,616676,6234606,-121.1173184,56.2419819,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,126,PC16-126,BBFM1253,10,616561,6234831,-121.1190738,56.24403055,,
Point Counts 2016,No,Yes,Wilder,Yes,Yes,Wilder Creek,127,PC16-127,BBFM1259,10,616316,6234940,-121.122977,56.24506935,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,138,PC16-138,BBFM1374,10,607630,6236572,-121.2624058,56.26177142,,"moved plot out of wetland (original plot within open water) (Original: 10V 0607611, 6236523)"
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,139,PC16-139,BBFM1375a,10,607382,6236449,-121.2664574,56.26072294,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,140,PC16-140,BBFM1356,10,607217,6236248,-121.2692013,56.25895513,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,141,PC16-141,BBFM1350,10,607039,6236079,-121.2721416,56.25747757,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,142,PC16-142,BBFM1336,10,606839,6235911,-121.2754363,56.25601386,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,143,PC16-143,BBFM1324,10,606701,6235701,-121.2777474,56.25415896,,new wpt for plot - moved to edge of wetland
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,144,PC16-144,BBFM1309,10,606540,6235543,-121.2804084,56.25277615,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,145,PC16-145,BBFM1264,10,605816,6234976,-121.2923149,56.24784592,,(New)
Point Counts 2016,Yes,Yes,No,Yes,Yes,Bear Flat,146,PC16-146,BBFM1254,10,605637,6234838,-121.2952573,56.24664641,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Halfway River,157,PC16-157,BBFM1014,10,597381,6231230,-121.4297579,56.21600524,,
Point Counts 2016,Yes,Yes,No,Yes,Yes,Halfway River,158,PC16-158,BBFM1011,10,597118,6231151,-121.4340259,56.21534946,,
