Station,MitProp,Visit,SurveyID,Year,Date,Time,BHC20_100,UTM_Northing,UTM_Easting,B-ATTW,B-BBWO,B-DOWO,B-HAWO,B-NOFL,B-PIWO,B-YBSA
WP18-001,No,1,WP18-001-1,2018,2018-06-08,4:51:00,RMF,641639,6224309,0,0,0,0,0,0,0
WP18-001,No,2,WP18-001-2,2018,2018-06-21,5:01:00,RMF,641639,6224309,0,0,0,0,0,0,1
WP18-002,No,1,WP18-002-1,2018,2018-06-08,6:19:00,RSH,633602,6229458,0,0,0,0,1,0,0
WP18-002,No,2,WP18-002-2,2018,2018-06-21,7:24:00,RSH,633602,6229458,0,0,0,0,0,0,0
WP18-003,No,1,WP18-003-1,2018,2018-06-08,7:45:00,RMF,632417,6229230,0,0,0,0,0,0,0
WP18-003,No,2,WP18-003-2,2018,2018-06-21,8:10:00,RMF,632417,6229230,0,0,0,0,0,0,0
WP18-004,No,1,WP18-004-1,2018,2018-06-08,8:32:00,CMF,631488,6228735,0,0,0,0,0,0,0
WP18-004,No,2,WP18-004-2,2018,2018-06-21,9:17:00,CMF,631488,6228735,1,1,0,0,0,0,0
WP18-005,No,1,WP18-005-1,2018,2018-06-08,9:22:00,CMF,631099,6229226,1,0,0,1,0,0,0
WP18-005,No,2,WP18-005-2,2018,2018-06-21,8:31:00,CMF,631099,6229226,0,0,0,0,0,0,0
WP18-006,No,1,WP18-006-1,2018,2018-06-05,4:53:00,RMF,622925,6232926,0,0,0,0,0,0,0
WP18-006,No,2,WP18-006-2,2018,2018-06-28,4:45:00,RMF,622925,6232926,0,0,0,0,0,0,0
WP18-007,No,1,WP18-007-1,2018,2018-06-05,5:26:00,CMF,622555,6232738,0,0,0,0,0,0,0
WP18-007,No,2,WP18-007-2,2018,2018-06-28,4:45:00,CMF,622555,6232738,1,0,0,0,0,0,0
WP18-008,No,1,WP18-008-1,2018,2018-06-05,6:08:00,RMF,621857,6232323,0,0,0,1,0,0,1
WP18-008,No,2,WP18-008-2,2018,2018-06-22,9:52:00,RMF,621857,6232323,0,0,0,0,0,0,1
WP18-009,No,1,WP18-009-1,2018,2018-06-05,9:57:00,DMF,621810,6232833,0,0,0,1,0,0,0
WP18-009,No,2,WP18-009-2,2018,2018-06-28,6:44:00,DMF,621810,6232833,1,0,0,0,1,0,0
WP18-010,No,1,WP18-010-1,2018,2018-06-05,6:00:00,RMF,621689,6232556,0,0,0,1,0,0,0
WP18-010,No,2,WP18-010-2,2018,2018-06-28,6:13:00,RMF,621689,6232556,0,0,0,0,0,1,0
WP18-011,No,1,WP18-011-1,2018,2018-06-05,5:29:00,RMF,621362,6232894,0,0,0,0,0,0,1
WP18-011,No,2,WP18-011-2,2018,2018-06-28,7:18:00,RMF,621362,6232894,1,0,0,0,0,0,0
WP18-012,No,1,WP18-012-1,2018,2018-06-09,4:51:00,RMF,621366,6232348,0,0,0,0,0,1,0
WP18-012,No,2,WP18-012-2,2018,2018-06-28,5:36:00,RMF,621366,6232348,0,0,0,0,0,3,0
WP18-013,No,1,WP18-013-1,2018,2018-06-09,5:27:00,RMF,620935,6232637,0,0,0,0,0,0,0
WP18-013,No,2,WP18-013-2,2018,2018-06-28,7:39:00,RMF,620935,6232637,0,0,0,0,0,0,1
WP18-014,No,1,WP18-014-1,2018,2018-06-10,4:48:00,WRI,620529,6232153,0,0,0,1,0,0,1
WP18-014,No,2,WP18-014-2,2018,2018-06-22,9:20:00,WRI,620529,6232153,0,0,0,0,0,0,0
WP18-015,No,1,WP18-015-1,2018,2018-06-09,6:03:00,DYF,620530,6232670,0,0,0,0,0,0,2
WP18-015,No,2,WP18-015-2,2018,2018-06-28,7:05:00,DYF,620530,6232670,0,0,0,1,0,0,1
WP18-016,No,1,WP18-016-1,2018,2018-06-10,5:00:00,RSH,620271,6232422,0,0,0,0,0,0,2
WP18-016,No,2,WP18-016-2,2018,2018-06-28,6:36:00,RSH,620271,6232422,0,0,0,0,0,0,1
WP18-017,No,1,WP18-017-1,2018,2018-06-10,5:31:00,DYF,620013,6232570,1,0,2,0,1,0,2
WP18-017,No,2,WP18-017-2,2018,2018-06-28,5:54:00,DYF,620013,6232570,0,0,0,0,0,0,0
WP18-018,No,1,WP18-018-1,2018,2018-06-05,7:05:00,RSH,619957,6232152,0,0,0,0,0,0,0
WP18-018,No,2,WP18-018-2,2018,2018-06-22,8:46:00,RSH,619957,6232152,0,0,0,0,2,0,0
WP18-019,No,1,WP18-019-1,2018,2018-06-05,7:09:00,DYF,619501,6232556,0,0,0,0,0,0,0
WP18-019,No,2,WP18-019-2,2018,2018-06-28,5:26:00,DYF,619501,6232556,0,0,0,0,0,0,0
WP18-020,No,1,WP18-020-1,2018,2018-06-05,8:00:00,DMF,619089,6231954,0,0,0,1,0,0,0
WP18-020,No,2,WP18-020-2,2018,2018-06-23,4:24:00,DMF,619089,6231954,0,0,0,0,0,0,1
WP18-020,No,3,WP18-020-3,2018,2018-06-28,8:26:00,DMF,619089,6231954,0,0,0,2,0,0,1
WP18-021,No,1,WP18-021-1,2018,2018-06-09,6:05:00,DYF,619041,6234009,0,0,0,0,0,0,1
WP18-021,No,2,WP18-021-2,2018,2018-06-22,5:06:00,DYF,619041,6234009,0,0,0,0,0,0,2
WP18-022,No,1,WP18-022-1,2018,2018-06-09,5:34:00,RYF,618930,6233543,1,0,0,0,0,0,0
WP18-022,No,2,WP18-022-2,2018,2018-06-22,5:38:00,RYF,618930,6233543,0,0,0,0,0,0,1
WP18-023,No,1,WP18-023-1,2018,2018-06-09,4:37:00,RSH,618874,6232727,0,0,0,0,0,0,1
WP18-023,No,2,WP18-023-2,2018,2018-06-22,6:26:00,RSH,618874,6232727,0,0,0,1,0,0,1
WP18-024,No,1,WP18-024-1,2018,2018-06-09,5:06:00,RMF,618864,6233150,1,0,0,0,0,0,1
WP18-024,No,2,WP18-024-2,2018,2018-06-22,6:02:00,RMF,618864,6233150,0,0,0,1,0,0,1
WP18-025,No,1,WP18-025-1,2018,2018-06-05,8:32:00,DMF,618646,6232004,0,0,1,1,0,0,0
WP18-025,No,2,WP18-025-2,2018,2018-06-23,5:09:00,DMF,618646,6232004,0,0,0,0,0,0,1
WP18-025,No,3,WP18-025-3,2018,2018-06-28,8:27:00,DMF,618646,6232004,0,0,0,0,0,2,0
WP18-026,No,1,WP18-026-1,2018,2018-06-05,7:38:00,WRI,618268,6232370,0,0,0,0,0,0,1
WP18-026,No,2,WP18-026-2,2018,2018-06-22,8:17:00,WRI,618268,6232370,0,0,0,0,1,1,0
WP18-027,No,1,WP18-027-1,2018,2018-06-05,8:00:00,RSH,617820,6232407,0,0,0,0,1,0,0
WP18-027,No,2,WP18-027-2,2018,2018-06-22,7:57:00,RSH,617820,6232407,0,0,0,0,0,0,0
WP18-028,No,1,WP18-028-1,2018,2018-06-05,9:18:00,DMF,617576,6232945,0,0,0,1,1,0,1
WP18-028,No,2,WP18-028-2,2018,2018-06-18,6:47:00,DMF,617576,6232945,0,0,0,0,0,0,1
WP18-029,No,1,WP18-029-1,2018,2018-06-05,8:40:00,RMF,617020,6232467,0,0,0,0,0,0,0
WP18-029,No,2,WP18-029-2,2018,2018-06-22,7:27:00,RMF,617020,6232467,0,0,0,0,0,0,1
WP18-030,No,1,WP18-030-1,2018,2018-06-05,9:43:00,RSH,616897,6233118,0,0,0,0,0,0,0
WP18-030,No,2,WP18-030-2,2018,2018-06-18,7:23:00,RSH,616897,6233118,1,0,0,0,0,0,1
WP18-031,No,1,WP18-031-1,2018,2018-06-05,9:25:00,CMF,616446,6232443,0,0,0,0,0,0,0
WP18-031,No,2,WP18-031-2,2018,2018-06-23,9:07:00,CMF,616446,6232443,2,0,0,0,0,0,0
WP18-031,No,3,WP18-031-3,2018,2018-06-28,9:52:00,CMF,616446,6232443,0,0,0,0,1,0,0
WP18-032,No,1,WP18-032-1,2018,2018-06-05,10:07:00,RSH,616369,6233374,0,0,0,0,0,0,0
WP18-032,No,2,WP18-032-2,2018,2018-06-18,7:52:00,RSH,616369,6233374,0,0,0,0,0,0,0
WP18-033,No,1,WP18-033-1,2018,2018-06-05,9:58:00,CMF,616393,6232805,0,0,0,0,0,0,1
WP18-033,No,2,WP18-033-2,2018,2018-06-23,7:40:00,CMF,616393,6232805,0,0,0,0,0,0,0
WP18-033,No,3,WP18-033-3,2018,2018-06-28,9:08:00,CMF,616393,6232805,2,0,0,0,0,0,1
WP18-034,No,1,WP18-034-1,2018,2018-06-07,6:04:00,CMF,615844,6232810,0,0,0,0,0,0,0
WP18-034,No,2,WP18-034-2,2018,2018-06-28,9:37:00,CMF,615844,6232810,1,0,0,0,0,0,0
WP18-035,No,1,WP18-035-1,2018,2018-06-07,6:45:00,CMF,615847,6233185,0,0,0,0,1,0,1
WP18-035,No,2,WP18-035-2,2018,2018-06-28,9:08:00,CMF,615847,6233185,1,0,0,0,0,0,0
WP18-036,No,1,WP18-036-1,2018,2018-06-10,6:32:00,DMF,615585,6233526,0,0,0,0,1,0,0
WP18-036,No,2,WP18-036-2,2018,2018-06-29,5:11:00,DMF,615585,6233526,0,0,0,0,0,0,0
WP18-037,No,1,WP18-037-1,2018,2018-06-07,4:51:00,CMF,615317,6233228,0,0,0,1,1,0,1
WP18-037,No,2,WP18-037-2,2018,2018-06-29,5:08:00,CMF,615317,6233228,1,0,0,1,0,0,1
WP18-038,No,1,WP18-038-1,2018,2018-06-10,8:14:00,DMF,615117,6234060,0,0,0,1,0,0,0
WP18-038,No,2,WP18-038-2,2018,2018-06-29,5:54:00,DMF,615117,6234060,0,0,0,1,0,0,0
WP18-039,No,1,WP18-039-1,2018,2018-06-10,7:27:00,DMF,615062,6233655,2,1,0,0,0,0,0
