Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC06-A-04A,2006,CMF,,0.468493151,,,,0.042361111,,,,0.08,,,,1,,
PC06-A-05A,2006,CMF,,0.468493151,,,,0.042361111,,,,0.08,,,,0,,
PC06-A-1,2006,CMF,0.408219178,0.468493151,,,0.0125,0.042361111,,,0.08,0.08,,,0,0,,
PC06-A-10,2006,CMF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-11,2006,CYF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-12,2006,CMF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-13,2006,CYF,,0.468493151,,,,0.042361111,,,,0.08,,,,0,,
PC06-A-14,2006,WRI,,0.468493151,,,,0.042361111,,,,0.08,,,,0,,
PC06-A-15,2006,CMF,,0.468493151,,,,0.042361111,,,,0.08,,,,0,,
PC06-A-16,2006,CYF,,0.468493151,,,,0.042361111,,,,0.08,,,,0,,
PC06-A-2,2006,CMF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-2n,2006,CYF,,0.468493151,,,,0.042361111,,,,0.08,,,,0,,
PC06-A-3,2006,CMF,0.408219178,0.468493151,,,0.0125,0.042361111,,,0.08,0.08,,,0,0,,
PC06-A-4,2006,CMF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-5,2006,CYF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-6,2006,CMF,0.408219178,0.468493151,,,0.0125,0.042361111,,,0.08,0.08,,,0,0,,
PC06-A-7,2006,CMF,0.408219178,0.468493151,,,0.0125,0.042361111,,,0.08,0.08,,,0,0,,
PC06-A-8,2006,WRI,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-A-9,2006,RYF,0.408219178,,,,0.0125,,,,0.08,,,,0,,,
PC06-B-1,2006,DYF,0.408219178,,,,0.064583333,,,,0.08,,,,0,,,
PC06-B-10,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-11,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-12,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-13,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-14,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-15,2006,CMF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-16,2006,CSH,0.408219178,,,,0.064583333,,,,0.08,,,,0,,,
PC06-B-17,2006,CMF,0.408219178,,,,0.064583333,,,,0.08,,,,0,,,
PC06-B-18,2006,DSH,0.408219178,,,,0.064583333,,,,0.08,,,,0,,,
PC06-B-1n,2006,DYF,,0.465753425,,,,0.031944444,,,,0.08,,,,0,,
PC06-B-2,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
PC06-B-3,2006,CYF,0.408219178,0.465753425,,,0.064583333,0.031944444,,,0.08,0.08,,,0,0,,
