species,BHC,mean,LCL,UCL
YRWA,CSH,0.240377002,0.082761586,0.698163313
YRWA,CYF,0.776265525,0.663205714,0.908599175
YRWA,CMF,0.588749616,0.499470238,0.693987518
YRWA,DSH,0.134921076,0.067098853,0.271296689
YRWA,DYF,0.284299955,0.245205908,0.329626903
YRWA,DMF,0.489178482,0.389690103,0.614066371
YRWA,RSH,0.157565867,0.096899651,0.256213537
YRWA,RYF,0.188835617,0.114947546,0.310218804
YRWA,RMF,0.456433381,0.327163712,0.636780375
YRWA,FBS/FBT,0.25786903,0.120694481,0.550948444
YRWA,WGR,0.176408008,0.062525048,0.497717099
YRWA,WSH,0.312343736,0.138750493,0.703122613
YRWA,WRI,0.299505507,0.182151038,0.492467952
YRWA,DSG/DSS,0.040080556,0.016335775,0.098339442
YRWA,CUL,0.149358017,0.087641674,0.254534358
YRWA,NVE,0.355009856,0.187125653,0.673515341
WTSP,CSH,1.494131178,0.910990393,2.450550515
WTSP,CYF,0.697050174,0.617600676,0.786720229
WTSP,CMF,0.695423157,0.615998563,0.785088467
WTSP,DSH,1.335964896,1.031975094,1.729501239
WTSP,DYF,1.015312531,0.93958463,1.097143889
WTSP,DMF,0.833402357,0.70944039,0.979024451
WTSP,RSH,0.542024659,0.411489755,0.713968519
WTSP,RYF,0.67778048,0.507940233,0.904410302
WTSP,RMF,0.969472421,0.779875366,1.205162794
WTSP,FBS/FBT,0.461313419,0.261740381,0.813057846
WTSP,WGR,0.547677447,0.315874197,0.949588758
WTSP,WSH,0.475656796,0.27927972,0.810117497
WTSP,WRI,0.420016058,0.275508268,0.640320126
WTSP,DSG/DSS,0.898855715,0.733048647,1.102166413
WTSP,CUL,0.593746201,0.455240068,0.774392625
WTSP,NVE,0.643694727,0.418221434,0.990726128
YEWA,CSH,0.372130801,0.15255306,0.907758477
YEWA,CYF,0.337135799,0.276707569,0.410760527
YEWA,CMF,0.516644067,0.438347049,0.608926404
YEWA,DSH,0.834297855,0.586756553,1.186272072
YEWA,DYF,0.643371557,0.576131482,0.718459195
YEWA,DMF,0.722945312,0.595442979,0.877749747
YEWA,RSH,0.469329212,0.348812239,0.631485609
YEWA,RYF,0.601142649,0.436988706,0.826960696
YEWA,RMF,0.591239725,0.437501526,0.799001586
YEWA,FBS/FBT,0.326650394,0.163703968,0.651789207
YEWA,WGR,0.310246955,0.157597302,0.610753937
YEWA,WSH,0.594971915,0.338900243,1.044530321
YEWA,WRI,0.503824964,0.337067599,0.753082157
YEWA,DSG/DSS,0.611041879,0.472007715,0.791029821
YEWA,CUL,0.395512991,0.277115579,0.564495602
YEWA,NVE,0.463784723,0.272006493,0.79077623
LEFL,CSH,0.244508552,0.08035541,0.744000088
LEFL,CYF,0.185360956,0.143299928,0.239767627
LEFL,CMF,0.198814332,0.156161663,0.253116789
LEFL,DSH,0.305322845,0.173050629,0.538698069
LEFL,DYF,0.513883529,0.441644226,0.597938944
LEFL,DMF,0.596375355,0.461803883,0.770161483
LEFL,RSH,0.25622313,0.167574457,0.391767895
LEFL,RYF,0.383773054,0.246642076,0.597147735
LEFL,RMF,0.396937163,0.26566775,0.593068263
LEFL,FBS/FBT,0.025315739,0.003276096,0.195625132
LEFL,WGR,0.117503606,0.037815877,0.365113774
LEFL,WSH,0.32580178,0.143957059,0.737350433
LEFL,WRI,0.153703553,0.077540157,0.304678029
LEFL,DSG/DSS,0.201177632,0.128603556,0.314707002
LEFL,CUL,0.194917329,0.113521814,0.334673694
LEFL,NVE,0.380944169,0.193591287,0.749612559
SWTH,CSH,0.169720397,0.050350936,0.572084962
SWTH,CYF,0.483841625,0.404266493,0.579080192
SWTH,CMF,0.552084142,0.46935739,0.649391927
SWTH,DSH,0.193750096,0.109836346,0.341773019
SWTH,DYF,0.31626325,0.273151116,0.366179883
SWTH,DMF,0.552423064,0.440604298,0.692619756
SWTH,RSH,0.261975864,0.17986674,0.381567783
SWTH,RYF,0.330247817,0.223348606,0.488311176
SWTH,RMF,0.464101483,0.339212706,0.63497087
SWTH,FBS/FBT,0.236136008,0.11340979,0.491670201
SWTH,WGR,0.149896288,0.05261139,0.427072871
SWTH,WSH,0.460978455,0.241014647,0.881693864
SWTH,WRI,0.162543545,0.091095169,0.290030792
SWTH,DSG/DSS,0.097826605,0.054784542,0.174685126
SWTH,CUL,0.135218087,0.066708253,0.274087989
