Species,effect,group,term,estimate,std.error,statistic,p.value
YRWA,fixed,NA,(Intercept),-1.560979136,0.563753892,-2.768901749,0.005624559
YRWA,fixed,NA,BHCCYF,1.515197462,0.567454883,2.670163757,0.007581426
YRWA,fixed,NA,BHCCMF,1.19860438,0.567470476,2.112188089,0.03467032
YRWA,fixed,NA,BHCDSH,-0.488833344,0.667401412,-0.732442777,0.463898357
YRWA,fixed,NA,BHCDYF,0.555433357,0.565862332,0.981569767,0.326311848
YRWA,fixed,NA,BHCDMF,0.952398872,0.573276866,1.661324446,0.096648303
YRWA,fixed,NA,BHCRSH,-0.478477654,0.614404312,-0.778766758,0.436117123
YRWA,fixed,NA,BHCRYF,-0.151956405,0.616757813,-0.246379377,0.805388569
YRWA,fixed,NA,BHCRMF,0.656483394,0.587759541,1.116925116,0.264026345
YRWA,fixed,NA,BHCFBS/FBT,0.08499622,0.688158245,0.123512608,0.901701191
YRWA,fixed,NA,BHCWGR,-0.603377475,0.778840763,-0.774712243,0.438509715
YRWA,fixed,NA,BHCWSH,3.20E-04,0.703304697,4.55E-04,0.999636718
YRWA,fixed,NA,BHCWRI,0.13150639,0.616625703,0.213267772,0.83111811
YRWA,fixed,NA,BHCDSG/DSS,-2.011756861,0.725050237,-2.774644787,0.005526203
YRWA,fixed,NA,BHCCUL,-0.259700945,0.621800675,-0.417659477,0.676196104
YRWA,fixed,NA,BHCNVE,0.458499594,0.652982561,0.702162081,0.48257809
YRWA,ran_pars,Station,sd__(Intercept),0.607954892,NA,NA,NA
WTSP,fixed,NA,(Intercept),-0.685018153,0.266378194,-2.571599955,0.010122979
WTSP,fixed,NA,BHCCYF,-0.53172147,0.273373938,-1.945033506,0.051770946
WTSP,fixed,NA,BHCCMF,-0.580247862,0.272914059,-2.126119349,0.033493323
WTSP,fixed,NA,BHCDSH,-0.109488956,0.300657939,-0.364164528,0.715735154
WTSP,fixed,NA,BHCDYF,-0.11803794,0.268408869,-0.439769148,0.660104315
WTSP,fixed,NA,BHCDMF,-0.403778612,0.279031777,-1.447070355,0.14787722
WTSP,fixed,NA,BHCRSH,-0.984212761,0.302072308,-3.258202537,0.001121204
WTSP,fixed,NA,BHCRYF,-0.738597683,0.305423041,-2.418277551,0.015594177
WTSP,fixed,NA,BHCRMF,-0.398503784,0.289921322,-1.374523893,0.169279098
WTSP,fixed,NA,BHCFBS/FBT,-1.101812613,0.398781979,-2.762944848,0.005728244
WTSP,fixed,NA,BHCWGR,-0.812979527,0.391985432,-2.074004445,0.038078898
WTSP,fixed,NA,BHCWSH,-0.906657259,0.384337425,-2.359013724,0.018323578
