Model,AICc,Species
m2,4865.644078,YRWA
m1,4931.323214,YRWA
m0,5224.658991,YRWA
Model,AICc,Species
m2,5997.641823,WTSP
m1,6085.35708,WTSP
m0,6194.441466,WTSP
Model,AICc,Species
m2,5874.158739,YEWA
m1,5952.597251,YEWA
m0,6015.245722,YEWA
Model,AICc,Species
m2,5484.134417,LEFL
m1,5582.158905,LEFL
m0,5776.998903,LEFL
Model,AICc,Species
m2,4723.611076,SWTH
m1,4777.580806,SWTH
m0,4920.462017,SWTH
Model,AICc,Species
m2,5281.090321,REVI
m1,5321.568205,REVI
m0,5374.23285,REVI
Model,AICc,Species
m2,4635.676411,OVEN
m1,4650.563649,OVEN
m0,4857.174271,OVEN
Model,AICc,Species
m2,4062.817852,AMRO
m0,4092.335887,AMRO
m1,4098.638362,AMRO
Model,AICc,Species
m2,3584.452371,YBSA
m1,3681.960738,YBSA
m0,3738.005119,YBSA
Model,AICc,Species
m2,3279.026367,WAVI
m1,3353.691209,WAVI
m0,3440.151944,WAVI
Model,AICc,Species
m2,2287.104295,LISP
m1,2314.100133,LISP
m0,2369.991888,LISP
Model,AICc,Species
m2,3177.307926,HETH
m1,3250.400801,HETH
m0,3291.476063,HETH
Model,AICc,Species
m2,3629.664092,WETA
m1,3661.506896,WETA
m0,3875.053418,WETA
Model,AICc,Species
m2,2965.250848,AMRE
m1,2978.092945,AMRE
m0,3052.295259,AMRE
Model,AICc,Species
m2,1847.819132,CORA
m1,1895.510973,CORA
m0,1915.695304,CORA
Model,AICc,Species
m2,2786.103898,CHSP
m1,2849.095418,CHSP
m0,2880.702397,CHSP
Model,AICc,Species
m2,2822.625554,RBGR
m1,2886.316966,RBGR
m0,2912.09147,RBGR
Model,AICc,Species
m2,1612.991943,RWBL
m1,1614.273563,RWBL
m0,1625.401641,RWBL
Model,AICc,Species
m2,2312.520749,CCSP
m1,2363.017107,CCSP
m0,2543.167037,CCSP
Model,AICc,Species
m2,2617.197441,DEJU
m1,2627.760887,DEJU
m0,2665.662412,DEJU
Model,AICc,Species
m2,2409.16339,BHCO
m1,2541.781219,BHCO
m0,2571.176768,BHCO
Model,AICc,Species
m2,1260.473032,PISI
m0,1339.879864,PISI
m1,1349.254677,PISI
Model,AICc,Species
m2,1939.878843,OCWA
m1,1964.900929,OCWA
m0,2019.549216,OCWA
Model,AICc,Species
m2,1098.269936,ALFL
m1,1101.883916,ALFL
m0,1140.219248,ALFL
Model,AICc,Species
m2,1962.16355,BCCH
m1,2101.880107,BCCH
m0,2115.666425,BCCH
Model,AICc,Species
m2,1495.724371,BAWW
m1,1504.168444,BAWW
m0,1512.056168,BAWW
Model,AICc,Species
m2,1673.887994,SOSP
m1,1684.924579,SOSP
m0,1776.897061,SOSP
Model,AICc,Species
m0,1644.7869945778073,CEWA
m1,1636.122482656567,CEWA
m2,1615.678063464634,CEWA
zip1,1638.150879194963,CEWA
zip2,1617.7176665963093,CEWA
nb1,1638.1508808698884,CEWA
nb2,NA,CEWA
Model,AICc,Species
m1,887.2108181957848,RCKI
m2,890.2896892425458,RCKI
m0,895.0196450383103,RCKI
Model,AICc,Species
m2,1671.7378177461626,WWPE
m1,1690.9450852483026,WWPE
m0,1724.5650773276654,WWPE
Model,AICc,Species
m1,876.779999587376,GRAJ
m0,876.998351588323,GRAJ
m2,880.6805141610514,GRAJ
Model,AICc,Species
m2,1208.6358762162915,CAWA
m1,1240.6761759565074,CAWA
m0,1247.0017897810897,CAWA
Model,AICc,Species
m2,1420.0991138414577,AMCR
m0,1424.477705753239,AMCR
m1,1432.1742252915951,AMCR
Model,AICc,Species
m1,978.124434779639,BHVI
m2,980.501979235253,BHVI
m0,993.5603836817379,BHVI
Model,AICc,Species
m1,1072.407628703655,HOWR
m2,1072.912679453202,HOWR
m0,1083.2080552679488,HOWR
Model,AICc,Species
m2,1021.0089160000537,HAWO
m1,1043.9849880508664,HAWO
m0,1053.5850498149273,HAWO
Model,AICc,Species
m1,424.22472384402715,SAVS
m2,429.40567818313025,SAVS
m0,443.30472861994684,SAVS
Model,AICc,Species
m1,399.49567291308347,SWSP
m0,400.379990208841,SWSP
m2,401.35675392497365,SWSP
Model,AICc,Species
m0,867.9229798838667,GRJA
m1,868.8749187125944,GRJA
m2,873.3762013235557,GRJA
