Model,AICc,Species
m3,1754.365534,TEWA
m5,1756.316887,TEWA
m1,1999.416927,TEWA
m4,2000.837457,TEWA
m0,2053.625786,TEWA
m2,2054.513649,TEWA
m3,1742.760187,RBNU
m5,1744.784713,RBNU
m1,1751.392458,RBNU
m4,1753.387511,RBNU
m0,1867.003092,RBNU
m2,1868.416267,RBNU
m5,1623.079951,BTNW
m4,1644.343205,BTNW
m3,1646.59525,BTNW
m1,1672.036815,BTNW
m2,1773.389775,BTNW
m0,1805.907531,BTNW
m5,1012.539715,COYE
m3,1020.291744,COYE
m4,1022.424601,COYE
m1,1029.801167,COYE
m0,1126.397312,COYE
m2,1128.069716,COYE
m3,926.9589488,NOWA
m5,928.3988427,NOWA
m1,933.1822284,NOWA
m4,934.4564563,NOWA
m0,1020.952262,NOWA
m2,1021.71124,NOWA
m5,1272.36362,MGNW
m4,1272.366415,MGNW
m1,1279.951481,MGNW
m3,1280.095006,MGNW
m2,1337.221323,MGNW
m0,1345.921823,MGNW
m9,812.7574564,GCKI
m10,812.7574564,GCKI
m4,817.5337935,GCKI
m5,817.7320228,GCKI
m3,820.2167101,GCKI
m1,820.7682952,GCKI
m6,899.5303912,GCKI
m7,901.4196152,GCKI
m8,902.3530316,GCKI
m2,914.8885709,GCKI
m0,916.732426,GCKI
m4,961.2216446,NOFL
m5,963.2317495,NOFL
m9,965.0174163,NOFL
m1,965.0539234,NOFL
m2,965.7225113,NOFL
m3,967.073807,NOFL
m7,967.4140298,NOFL
m8,969.2980295,NOFL
m0,970.2733613,NOFL
m6,971.6162803,NOFL
m9,839.0274573,MOWA
m6,839.6754621,MOWA
m8,841.1158387,MOWA
m7,841.2705476,MOWA
m4,860.1571322,MOWA
m5,860.9727613,MOWA
m1,861.7438852,MOWA
m3,862.6570557,MOWA
m2,863.13725,MOWA
m0,866.4586132,MOWA
m5,840.3920074,PUFI
m9,840.7439475,PUFI
m3,841.764625,PUFI
m8,859.7525887,PUFI
m4,943.3137226,PUFI
m1,945.0607215,PUFI
m7,971.7917396,PUFI
m6,977.8271621,PUFI
m2,982.7572451,PUFI
m0,984.867887,PUFI
m9,525.7381904,VESP
m4,527.553844,VESP
m5,529.113445,VESP
m1,529.2954415,VESP
m3,530.7631355,VESP
m6,669.3122766,VESP
m7,670.9284541,VESP
m8,672.8089645,VESP
m2,709.8139255,VESP
m0,716.3926987,VESP
m9,675.7464945,BAOR
m5,692.6070736,BAOR
m4,693.1977538,BAOR
m3,699.3038674,BAOR
m1,700.1213488,BAOR
m6,726.5904252,BAOR
m8,727.9200766,BAOR
m7,728.4209429,BAOR
m2,751.9309248,BAOR
m0,761.0020698,BAOR
m9,435.5122197,WIWA
m8,440.8411432,WIWA
m6,459.8916558,WIWA
m7,460.0556748,WIWA
m5,483.853094,WIWA
m4,493.6550291,WIWA
m2,494.3088835,WIWA
m3,501.2146825,WIWA
m1,510.1123564,WIWA
m0,512.2278964,WIWA
m9,423.965497,TRSW
m3,431.0873648,TRSW
m5,433.0959181,TRSW
m1,434.0227915,TRSW
m4,436.0380934,TRSW
m0,465.4563338,TRSW
m8,465.6900987,TRSW
m6,466.0154416,TRSW
