nrow,nlevels,successes,trials,mean,lower,upper
24,3,0,50,0,0,0.07112173646419762
296,38,24,50,0.48,0.33660509160345997,0.6258480549209058
568,72,33,50,0.66,0.5123475122784117,0.7879452865646183
844,107,39,50,0.78,0.6403881114342104,0.8847341739621514
1089,142,45,50,0.9,0.7818646335657977,0.9667249064109775
1293,176,45,50,0.9,0.7818646335657977,0.9667249064109775
1491,211,48,50,0.96,0.8628623743960326,0.9951185665738356
1692,246,48,50,0.96,0.8628623743960326,0.9951185665738356
1890,280,47,50,0.94,0.8345180533962271,0.9874514121646659
2094,315,48,50,0.96,0.8628623743960326,0.9951185665738356
