nrow,nlevels,successes,trials,mean,lower,upper
24,3,0,75,0,0,0.0479950640551422
296,38,34,75,0.4533333333333333,0.3379442789046585,0.5725210907779152
568,72,55,75,0.7333333333333333,0.6186272795170769,0.8288894608555409
844,107,64,75,0.8533333333333334,0.7527082855542006,0.9244445941573516
1089,142,69,75,0.92,0.8339631287011778,0.9700748552659225
1293,176,71,75,0.9466666666666667,0.8690391927215253,0.9852792353408218
1491,211,74,75,0.9866666666666667,0.9279365027568325,0.9996624861974789
1692,246,75,75,1,0.9520049359448578,1
1890,280,75,75,1,0.9520049359448578,1
2094,315,75,75,1,0.9520049359448578,1
