nrow,nlevels,successes,trials,mean,lower,upper
24,3,0,50,0,0,0.07112173646419762
296,38,19,50,0.38,0.2465010777998622,0.5282508369471446
568,72,34,50,0.68,0.5330061598852694,0.8047958053371607
844,107,41,50,0.82,0.6856305887143496,0.9142379218903364
1089,142,43,50,0.86,0.7326039975029915,0.9418082996596279
1293,176,45,50,0.9,0.7818646335657977,0.9667249064109775
1491,211,45,50,0.9,0.7818646335657977,0.9667249064109775
1692,246,48,50,0.96,0.8628623743960326,0.9951185665738356
1890,280,45,50,0.9,0.7818646335657977,0.9667249064109775
2094,315,47,50,0.94,0.8345180533962271,0.9874514121646659
