nrow,nlevels,successes,trials,mean,lower,upper
24,3,0,50,0,0,0.07112173646419762
296,38,7,50,0.14,0.05819170034037213,0.26739600249700846
568,72,9,50,0.18,0.08576207810966363,0.31436941128565044
844,107,11,50,0.22,0.11526582603784863,0.35961188856578963
1089,142,16,50,0.32,0.19520419466283934,0.46699384011473055
1293,176,16,50,0.32,0.19520419466283934,0.46699384011473055
1491,211,14,50,0.28,0.1623106007071753,0.42490535701610865
1692,246,12,50,0.24,0.13060991619745732,0.38169074810403836
1890,280,15,50,0.3,0.17861784566414696,0.44608232566117834
2094,315,14,50,0.28,0.1623106007071753,0.42490535701610865
