species,BHC,mean,LCL,UCL
ATTW,CYF,0.1297263981227635,0.045871007889977805,0.36687526923912706
ATTW,CMF,0.1321742390986291,0.055071269714972275,0.31722583430016654
ATTW,DSH,0.01728047065558201,0.002010379033081364,0.14853650041342498
ATTW,DYF,0.014064512086195953,0.0028800037806085586,0.06868411130382396
ATTW,DMF,0.049158033306099275,0.01543227301792057,0.1565882249307938
ATTW,RSH,0.01096517726746806,0.0012065874100484406,0.09964890359843152
ATTW,RYF,0.01276426028207465,0.0013567188499582167,0.1200885065859932
ATTW,RMF,0.03811923488086678,0.010428952185227502,0.1393309742047679
ATTW,FBT/FBS,0.21329947766556825,0.030465164526780397,1.493399687121677
ATTW,WRI/WSH,0.06643773825267515,0.012100921291788873,0.3647633893070683
species,BHC,mean,LCL,UCL
BBWO,CYF,9.607537421815266e-12,0,0
BBWO,CMF,0.01818182122077197,0.0025610638234127387,0.1290786351679446
BBWO,DSH,1.4128901105575494e-12,0,0
BBWO,DYF,9.86203359840818e-14,0,0
BBWO,DMF,0.014705888040624246,0.0020714496196276634,0.10440183580339638
BBWO,RSH,7.176139840381526e-13,0,0
BBWO,RYF,1.5265656602640552e-12,0,0
BBWO,RMF,3.2420039331520455e-13,0,0
BBWO,FBT/FBS,8.388639575601226e-13,0,0
BBWO,WRI/WSH,1.5518289597017876e-12,0,0
species,BHC,mean,LCL,UCL
DOWO,CYF,0.0318432582708949,0.007396324073098938,0.13709419534426512
DOWO,CMF,2.967469934080072e-14,0,0
DOWO,DSH,1.8373762607571628e-11,0,0
DOWO,DYF,0.03662257177159249,0.009136617402218165,0.14679532961945266
DOWO,DMF,0.01565283449126808,0.00291430097176273,0.08407203991111302
DOWO,RSH,0.026538687710718833,0.004137282470451277,0.17023298516290006
DOWO,RYF,0.05685140775264351,0.010167425072890505,0.3178860468886133
DOWO,RMF,0.014693227349637607,0.0021795429305913557,0.09905330467134356
DOWO,FBT/FBS,3.8291089753199446e-10,0,0
DOWO,WRI/WSH,5.295331772976224e-11,0,0
species,BHC,mean,LCL,UCL
HAWO,CYF,0.05754738921195983,0.021509521772923226,0.15396446467171818
HAWO,CMF,0.19165386569892684,0.095814240350024,0.383358508121106
HAWO,DSH,0.22058354858014145,0.09331135061536962,0.5214489082338195
HAWO,DYF,0.10112548887058632,0.047498341133846905,0.2152994032043754
HAWO,DMF,0.16365301322999745,0.08393769276964172,0.3190736825797557
HAWO,RSH,0.08406081740295442,0.028036096474967288,0.2520401165248555
HAWO,RYF,0.02713150695143715,0.0035574335336964595,0.206924082342867
HAWO,RMF,0.1359060760814812,0.06020419711009741,0.3067969078980956
HAWO,FBT/FBS,1.8441643635806165e-9,0,0
HAWO,WRI/WSH,0.18288398105513767,0.06305112426230113,0.5304671553108842
species,BHC,mean,LCL,UCL
NOFL,CYF,0.10387369038213934,0.03867466951693919,0.2789873498176559
NOFL,CMF,0.07848345169597107,0.030594761198092055,0.2013302914911443
NOFL,DSH,0.22258272763913206,0.095667920578563,0.5178650308657122
NOFL,DYF,0.0328907423559217,0.009791581054795247,0.11048276337291102
NOFL,DMF,0.07894692604692756,0.033831319217550455,0.184226251781095
NOFL,RSH,0.2723053553550709,0.13189105437364337,0.5622080049871019
NOFL,RYF,0.08688348330059675,0.02837657818827451,0.2660200824905764
NOFL,RMF,0.013372307499057122,0.001767187226895411,0.1011882641113739
NOFL,FBT/FBS,0.2653990405345095,0.05635466368329832,1.2498814847423771
NOFL,WRI/WSH,0.08057300167016766,0.018215119545678022,0.3564076854868201
species,BHC,mean,LCL,UCL
PIWO,CYF,0.00652628370892464,9.658067114609255e-4,0.044100313803936905
PIWO,CMF,0.005286195828570873,5.172024093280795e-4,0.05402887889540814
PIWO,DSH,0.023055624407154543,0.0036834938235597923,0.14430913753781455
PIWO,DYF,0.021206583872491986,0.005337418670409606,0.0842578083735981
PIWO,DMF,0.036720376578958304,0.009668178808989266,0.13946639617864842
PIWO,RSH,0.008657231320334432,7.721748417690986e-4,0.09706047138504273
PIWO,RYF,0.010356097257275888,8.850996171318161e-4,0.12117138944167553
PIWO,RMF,0.04925004124240612,0.012437176355342753,0.19502550201732322
PIWO,FBT/FBS,0.025627785713059223,0.00138150276738926,0.4754122945375349
PIWO,WRI/WSH,0.015076795498185962,0.0012923196355137184,0.17589283351232304
species,BHC,mean,LCL,UCL
YBSA,CYF,0.17420090749647635,0.09405769809546995,0.3226312868277334
YBSA,CMF,0.16665436508792028,0.08395934294708132,0.33079912762494185
YBSA,DSH,0.3315655810139655,0.1563580408380644,0.7031025326480385
YBSA,DYF,0.3131026862056254,0.19280190370494935,0.5084664115101357
YBSA,DMF,0.2905098362478631,0.17322435331556388,0.4872061193556056
YBSA,RSH,0.18643822741844993,0.08324638298192549,0.41754622120315543
YBSA,RYF,0.20137798093381373,0.08572727027837047,0.47304773700710323
YBSA,RMF,0.2124479983024477,0.11015433742510308,0.4097355858856194
YBSA,FBT/FBS,0.44794564407835197,0.1276929364229344,1.571389190896003
YBSA,WRI/WSH,0.32119386610331213,0.1277654882823902,0.8074598313620787
