Species,Effect,Group,Term,Estimate,SD,Statistic,p-value
ATTW,fixed,NA,(Intercept),-2.708,0.549,-4.934,0.000
ATTW,fixed,NA,CMF,0.748,0.601,1.245,0.213
ATTW,fixed,NA,DSH,-1.437,1.171,-1.227,0.220
ATTW,fixed,NA,DYF,-1.639,0.873,-1.877,0.060
ATTW,fixed,NA,DMF,-0.064,0.619,-0.103,0.918
ATTW,fixed,NA,RSH,-1.615,1.156,-1.397,0.162
ATTW,fixed,NA,RYF,-1.370,1.176,-1.165,0.244
ATTW,fixed,NA,RMF,-0.376,0.712,-0.528,0.597
ATTW,fixed,NA,FBT/FBS,0.722,1.140,0.633,0.526
ATTW,fixed,NA,WRI/WSH,-0.338,0.963,-0.351,0.726
ATTW,random,Station,(Intercept),1.354,NA,NA,NA
BBWO,fixed,NA,(Intercept),-25.368,39970.408,-0.001,0.999
BBWO,fixed,NA,CMF,21.361,39970.408,0.001,1.000
BBWO,fixed,NA,DSH,-1.917,158650.467,0.000,1.000
BBWO,fixed,NA,DYF,-4.579,372462.901,0.000,1.000
BBWO,fixed,NA,DMF,21.149,39970.408,0.001,1.000
BBWO,fixed,NA,RSH,-2.594,200716.763,0.000,1.000
BBWO,fixed,NA,RYF,-1.840,158170.160,0.000,1.000
BBWO,fixed,NA,RMF,-3.389,254140.169,0.000,1.000
BBWO,fixed,NA,FBT/FBS,-2.438,388102.205,0.000,1.000
BBWO,fixed,NA,WRI/WSH,-1.823,179682.897,0.000,1.000
BBWO,random,Station,(Intercept),0.000,NA,NA,NA
DOWO,fixed,NA,(Intercept),-3.447,0.745,-4.628,0.000
DOWO,fixed,NA,CMF,-27.702,515168.846,0.000,1.000
DOWO,fixed,NA,DSH,-21.273,28032.667,-0.001,0.999
DOWO,fixed,NA,DYF,0.140,0.738,0.190,0.850
DOWO,fixed,NA,DMF,-0.710,0.880,-0.807,0.419
DOWO,fixed,NA,RSH,-0.182,0.950,-0.192,0.848
DOWO,fixed,NA,RYF,0.580,0.903,0.642,0.521
DOWO,fixed,NA,RMF,-0.773,0.991,-0.780,0.435
DOWO,fixed,NA,FBT/FBS,-18.236,11891.325,-0.002,0.999
DOWO,fixed,NA,WRI/WSH,-20.215,19736.397,-0.001,0.999
DOWO,random,Station,(Intercept),1.618,NA,NA,NA
HAWO,fixed,NA,(Intercept),-2.855,0.502,-5.686,0.000
HAWO,fixed,NA,CMF,1.203,0.568,2.116,0.034
HAWO,fixed,NA,DSH,1.344,0.622,2.162,0.031
HAWO,fixed,NA,DYF,0.564,0.586,0.962,0.336
HAWO,fixed,NA,DMF,1.045,0.560,1.866,0.062
HAWO,fixed,NA,RSH,0.379,0.716,0.529,0.597
HAWO,fixed,NA,RYF,-0.752,1.129,-0.666,0.505
HAWO,fixed,NA,RMF,0.859,0.605,1.421,0.155
HAWO,fixed,NA,FBT/FBS,-17.256,7202.703,-0.002,0.998
HAWO,fixed,NA,WRI/WSH,1.156,0.705,1.639,0.101
HAWO,random,Station,(Intercept),0.783,NA,NA,NA
NOFL,fixed,NA,(Intercept),-2.866,0.513,-5.590,0.000
NOFL,fixed,NA,CMF,0.334,0.650,0.513,0.608
NOFL,fixed,NA,DSH,1.358,0.625,2.173,0.030
NOFL,fixed,NA,DYF,-0.638,0.761,-0.838,0.402
NOFL,fixed,NA,DMF,0.520,0.602,0.864,0.388
NOFL,fixed,NA,RSH,1.658,0.580,2.856,0.004
NOFL,fixed,NA,RYF,0.626,0.729,0.858,0.391
NOFL,fixed,NA,RMF,-1.321,1.121,-1.179,0.239
NOFL,fixed,NA,FBT/FBS,1.145,0.970,1.181,0.238
NOFL,fixed,NA,WRI/WSH,0.222,0.897,0.248,0.804
NOFL,random,Station,(Intercept),0.817,NA,NA,NA
PIWO,fixed,NA,(Intercept),-4.354,0.888,-4.901,0.000
PIWO,fixed,NA,CMF,-0.498,1.319,-0.378,0.706
PIWO,fixed,NA,DSH,1.071,1.095,0.978,0.328
PIWO,fixed,NA,DYF,0.967,0.931,1.039,0.299
PIWO,fixed,NA,DMF,1.370,0.911,1.503,0.133
PIWO,fixed,NA,RSH,-0.100,1.343,-0.074,0.941
PIWO,fixed,NA,RYF,0.145,1.364,0.106,0.916
PIWO,fixed,NA,RMF,1.758,0.925,1.901,0.057
PIWO,fixed,NA,FBT/FBS,1.438,1.552,0.926,0.354
PIWO,fixed,NA,WRI/WSH,0.435,1.398,0.311,0.756
PIWO,random,Station,(Intercept),1.483,NA,NA,NA
YBSA,fixed,NA,(Intercept),-1.732,0.321,-5.394,0.000
YBSA,fixed,NA,CMF,-0.095,0.456,-0.208,0.835
YBSA,fixed,NA,DSH,0.629,0.479,1.313,0.189
YBSA,fixed,NA,DYF,0.603,0.385,1.566,0.117
YBSA,fixed,NA,DMF,0.473,0.399,1.185,0.236
YBSA,fixed,NA,RSH,0.020,0.502,0.040,0.968
YBSA,fixed,NA,RYF,0.230,0.526,0.437,0.662
YBSA,fixed,NA,RMF,0.197,0.446,0.440,0.660
YBSA,fixed,NA,FBT/FBS,0.965,0.729,1.324,0.185
YBSA,fixed,NA,WRI/WSH,0.465,0.559,0.832,0.405
YBSA,random,Station,(Intercept),0.896,NA,NA,NA
