species,BHC,mean,LCL,UCL
ATTW,CYF,0.1409149288342135,0.053976525521405576,0.36788246328446467
ATTW,CMF,0.13247623675038603,0.05532401706252663,0.3172212401660848
ATTW,DSH,0.01734211465432203,0.0020215643484231918,0.14877040195046645
ATTW,DYF,0.014123810508183269,0.0028977409252705258,0.06884053074980989
ATTW,DMF,0.049332346693812486,0.015533438893019561,0.15667364110932075
ATTW,RSH,0.010993291742646938,0.001212737955344101,0.09965257771177681
ATTW,RYF,0.01278935918595168,0.0013634309026715997,0.1199677285198544
ATTW,RMF,0.0382313873329619,0.010489268558623747,0.1393461297357358
ATTW,WRI/WSH,0.06706677683369247,0.012297037006836941,0.3657753125699731
species,BHC,mean,LCL,UCL
BBWO,CYF,2.1457774841286027e-9,0,0
BBWO,CMF,0.009921959953584567,6.621816230341312e-4,0.14866810841028366
BBWO,DSH,4.848675025757205e-10,0,0
BBWO,DYF,3.9686238556916854e-11,0,0
BBWO,DMF,0.010321978488155718,9.922801828435026e-4,0.10737213314553609
BBWO,RSH,2.5037094661504017e-10,0,0
BBWO,RYF,5.715617433776716e-10,0,0
BBWO,RMF,1.3037927430606965e-10,0,0
BBWO,WRI/WSH,4.2115068993020406e-10,0,0
species,BHC,mean,LCL,UCL
DOWO,CYF,0.026793037402009078,0.006046884398358313,0.1187168144673567
DOWO,CMF,1.3414218057911249e-14,0,0
DOWO,DSH,3.8584937140039426e-11,0,0
DOWO,DYF,0.03488699554529615,0.008416552305749224,0.14460819750934456
DOWO,DMF,0.014905165056837526,0.0026872467403716346,0.08267344491814178
DOWO,RSH,0.02518782091796133,0.0037806239212956477,0.16780995301375223
DOWO,RYF,0.05416488915279026,0.009321765820821422,0.3147295558938994
DOWO,RMF,0.013986164971894128,0.0020063875485977407,0.09749502819520167
DOWO,WRI/WSH,1.398869836335104e-10,0,0
species,BHC,mean,LCL,UCL
HAWo,CYF,0.051033863185246615,0.01913861843340061,0.13608376177588605
HAWo,CMF,0.19075298844241145,0.09510243583520664,0.38260536946458
HAWo,DSH,0.21946433436770832,0.09252180120376566,0.520575620370661
HAWo,DYF,0.10062345883614524,0.0471408289595768,0.21478367461106074
HAWo,DMF,0.162878718357847,0.08333059801394414,0.3183641726590697
HAWo,RSH,0.08367237317716843,0.027843687420094396,0.2514417694563961
HAWo,RYF,0.027008812331686012,0.003536404913513632,0.20627613675704787
HAWo,RMF,0.1352112858740048,0.059725633904652,0.3061012605891801
HAWo,WRI/WSH,0.18209449895073498,0.06257044324233875,0.5299372168372677
species,BHC,mean,LCL,UCL
NOFL,CYF,0.12569399961822758,0.05269248306366066,0.2998336882499802
NOFL,CMF,0.07725688619067352,0.02984914007137709,0.19995974589573218
NOFL,DSH,0.2194084950603508,0.09338911564965487,0.5154785691005298
NOFL,DYF,0.032474825046743525,0.009611117141220408,0.10972858267365648
NOFL,DMF,0.07735567499489196,0.03279936983432437,0.1824394945433748
NOFL,RSH,0.26784245939802487,0.1286173818062855,0.5577751781981671
NOFL,RYF,0.0853039402868529,0.027681710742039827,0.26287256218640587
NOFL,RMF,0.013135803047812613,0.001729314540612077,0.09977902669450209
NOFL,WRI/WSH,0.07971254880923373,0.017905041391629684,0.354877171109747
species,BHC,mean,LCL,UCL
PIWO,CYF,0.008304130897590316,0.001473549787920013,0.0467975975631285
PIWO,CMF,0.00517554333906098,5.029256571623934e-4,0.05326085172435191
PIWO,DSH,0.022532590717207902,0.0035694649781772042,0.14223914439089874
PIWO,DYF,0.020779609430699862,0.005206467235594146,0.08293381069230059
PIWO,DMF,0.03589014793415849,0.00939949750909904,0.13703952977154926
PIWO,RSH,0.008472619123086866,7.495754613857483e-4,0.0957679093072057
PIWO,RYF,0.010122438922246959,8.57645703373354e-4,0.1194709765717968
PIWO,RMF,0.04815140322199916,0.012091633326156226,0.19174892007617547
PIWO,WRI/WSH,0.014777399616110036,0.001253523828491151,0.17420613350211286
species,BHC,mean,LCL,UCL
YBSA,CYF,0.23091638846783613,0.12902262810308518,0.4132792770305813
YBSA,CMF,0.16441797132675195,0.08253854393845411,0.32752297296839056
YBSA,DSH,0.34028708925421003,0.16102846845305577,0.7190983322732168
YBSA,DYF,0.3223905624713255,0.19861002880787904,0.523315340088478
YBSA,DMF,0.26960654284653435,0.1587114312620624,0.4579864686976398
YBSA,RSH,0.17907563798224174,0.07964630815575872,0.40263114337997413
YBSA,RYF,0.18284612795833208,0.07661808481522911,0.4363552885716278
YBSA,RMF,0.1995113851119053,0.10235524090231668,0.38888866303640396
YBSA,WRI/WSH,0.31894729005896527,0.12577497014376945,0.8088045953791627
