Station,Visit,SurveyID,Year,Date,Time,BHC20_100,ATTW,BBWO,DOWO,HAWO,NOFL,PIWO,YBSA
WP18-001,1,WP18-001-1,2018,2018-06-08,4:51:00,RMF,0,0,0,0,0,0,0
WP18-001,2,WP18-001-2,2018,2018-06-21,5:01:00,RMF,0,0,0,0,0,0,1
WP18-002,1,WP18-002-1,2018,2018-06-08,6:19:00,RSH,0,0,0,0,1,0,0
WP18-002,2,WP18-002-2,2018,2018-06-21,7:24:00,RSH,0,0,0,0,0,0,0
WP18-003,1,WP18-003-1,2018,2018-06-08,7:45:00,RMF,0,0,0,0,0,0,0
WP18-003,2,WP18-003-2,2018,2018-06-21,8:10:00,RMF,0,0,0,0,0,0,0
WP18-004,1,WP18-004-1,2018,2018-06-08,8:32:00,CMF,0,0,0,0,0,0,0
WP18-004,2,WP18-004-2,2018,2018-06-21,9:17:00,CMF,1,1,0,0,0,0,0
WP18-005,1,WP18-005-1,2018,2018-06-08,9:22:00,CMF,1,0,0,1,0,0,0
WP18-005,2,WP18-005-2,2018,2018-06-21,8:31:00,CMF,0,0,0,0,0,0,0
WP18-006,1,WP18-006-1,2018,2018-06-05,4:53:00,RMF,0,0,0,0,0,0,0
WP18-006,2,WP18-006-2,2018,2018-06-28,4:45:00,RMF,0,0,0,0,0,0,0
WP18-007,1,WP18-007-1,2018,2018-06-05,5:26:00,CMF,0,0,0,0,0,0,0
WP18-007,2,WP18-007-2,2018,2018-06-28,4:45:00,CMF,1,0,0,0,0,0,0
WP18-008,1,WP18-008-1,2018,2018-06-05,6:08:00,RMF,0,0,0,1,0,0,1
WP18-008,2,WP18-008-2,2018,2018-06-22,9:52:00,RMF,0,0,0,0,0,0,1
WP18-009,1,WP18-009-1,2018,2018-06-05,9:57:00,DMF,0,0,0,1,0,0,0
WP18-009,2,WP18-009-2,2018,2018-06-28,6:44:00,DMF,1,0,0,0,1,0,0
WP18-010,1,WP18-010-1,2018,2018-06-05,6:00:00,RMF,0,0,0,1,0,0,0
WP18-010,2,WP18-010-2,2018,2018-06-28,6:13:00,RMF,0,0,0,0,0,1,0
WP18-011,1,WP18-011-1,2018,2018-06-05,5:29:00,RMF,0,0,0,0,0,0,1
